expression.among.q01	expression.among.q05	expression.among.q50	expression.among.q95	expression.among.q99	expression.within.P.q01	expression.within.P.q05	expression.within.P.q50	expression.within.P.q95	expression.within.P.q99	expression.within.R.q01	expression.within.R.q05	expression.within.R.q50	expression.within.R.q95	expression.within.R.q99	expression.sample.X12C_gut.q01	expression.sample.X12C_gut.q05	expression.sample.X12C_gut.q50	expression.sample.X12C_gut.q95	expression.sample.X12C_gut.q99	expression.sample.X33C_gut.q01	expression.sample.X33C_gut.q05	expression.sample.X33C_gut.q50	expression.sample.X33C_gut.q95	expression.sample.X33C_gut.q99	expression.sample.X01C_gut.q01	expression.sample.X01C_gut.q05	expression.sample.X01C_gut.q50	expression.sample.X01C_gut.q95	expression.sample.X01C_gut.q99	expression.sample.X06C_gut.q01	expression.sample.X06C_gut.q05	expression.sample.X06C_gut.q50	expression.sample.X06C_gut.q95	expression.sample.X06C_gut.q99	expression.sample.X11C_gut.q01	expression.sample.X11C_gut.q05	expression.sample.X11C_gut.q50	expression.sample.X11C_gut.q95	expression.sample.X11C_gut.q99	expression.sample.X30C_gut.q01	expression.sample.X30C_gut.q05	expression.sample.X30C_gut.q50	expression.sample.X30C_gut.q95	expression.sample.X30C_gut.q99	expression.sample.X27C_gut.q01	expression.sample.X27C_gut.q05	expression.sample.X27C_gut.q50	expression.sample.X27C_gut.q95	expression.sample.X27C_gut.q99	expression.sample.X07C_gut.q01	expression.sample.X07C_gut.q05	expression.sample.X07C_gut.q50	expression.sample.X07C_gut.q95	expression.sample.X07C_gut.q99	expression.sample.X02C_gut.q01	expression.sample.X02C_gut.q05	expression.sample.X02C_gut.q50	expression.sample.X02C_gut.q95	expression.sample.X02C_gut.q99	expression.sample.X31C_gut.q01	expression.sample.X31C_gut.q05	expression.sample.X31C_gut.q50	expression.sample.X31C_gut.q95	expression.sample.X31C_gut.q99	expression.sample.X35C_gut.q01	expression.sample.X35C_gut.q05	expression.sample.X35C_gut.q50	expression.sample.X35C_gut.q95	expression.sample.X35C_gut.q99	expression.sample.X08C_gut.q01	expression.sample.X08C_gut.q05	expression.sample.X08C_gut.q50	expression.sample.X08C_gut.q95	expression.sample.X08C_gut.q99	expression.sample.X03C_gut.q01	expression.sample.X03C_gut.q05	expression.sample.X03C_gut.q50	expression.sample.X03C_gut.q95	expression.sample.X03C_gut.q99	expression.sample.X28C_gut.q01	expression.sample.X28C_gut.q05	expression.sample.X28C_gut.q50	expression.sample.X28C_gut.q95	expression.sample.X28C_gut.q99	expression.sample.X29C_gut.q01	expression.sample.X29C_gut.q05	expression.sample.X29C_gut.q50	expression.sample.X29C_gut.q95	expression.sample.X29C_gut.q99	expression.sample.X17C_gut.q01	expression.sample.X17C_gut.q05	expression.sample.X17C_gut.q50	expression.sample.X17C_gut.q95	expression.sample.X17C_gut.q99	expression.sample.X10C_gut.q01	expression.sample.X10C_gut.q05	expression.sample.X10C_gut.q50	expression.sample.X10C_gut.q95	expression.sample.X10C_gut.q99	expression.sample.X09C_gut.q01	expression.sample.X09C_gut.q05	expression.sample.X09C_gut.q50	expression.sample.X09C_gut.q95	expression.sample.X09C_gut.q99	expression.sample.X23C_gut.q01	expression.sample.X23C_gut.q05	expression.sample.X23C_gut.q50	expression.sample.X23C_gut.q95	expression.sample.X23C_gut.q99	expression.sample.X32C_gut.q01	expression.sample.X32C_gut.q05	expression.sample.X32C_gut.q50	expression.sample.X32C_gut.q95	expression.sample.X32C_gut.q99	expression.sample.X05C_gut.q01	expression.sample.X05C_gut.q05	expression.sample.X05C_gut.q50	expression.sample.X05C_gut.q95	expression.sample.X05C_gut.q99	expression.sample.X37C_gut.q01	expression.sample.X37C_gut.q05	expression.sample.X37C_gut.q50	expression.sample.X37C_gut.q95	expression.sample.X37C_gut.q99	expression.sample.X36C_gut.q01	expression.sample.X36C_gut.q05	expression.sample.X36C_gut.q50	expression.sample.X36C_gut.q95	expression.sample.X36C_gut.q99	expression.sample.X04C_gut.q01	expression.sample.X04C_gut.q05	expression.sample.X04C_gut.q50	expression.sample.X04C_gut.q95	expression.sample.X04C_gut.q99	expression.sample.X16C_gut.q01	expression.sample.X16C_gut.q05	expression.sample.X16C_gut.q50	expression.sample.X16C_gut.q95	expression.sample.X16C_gut.q99	expression.sample.X14C_gut.q01	expression.sample.X14C_gut.q05	expression.sample.X14C_gut.q50	expression.sample.X14C_gut.q95	expression.sample.X14C_gut.q99	expression.sample.X20C_gut.q01	expression.sample.X20C_gut.q05	expression.sample.X20C_gut.q50	expression.sample.X20C_gut.q95	expression.sample.X20C_gut.q99	expression.sample.X25C_gut.q01	expression.sample.X25C_gut.q05	expression.sample.X25C_gut.q50	expression.sample.X25C_gut.q95	expression.sample.X25C_gut.q99	expression.sample.X40C_gut.q01	expression.sample.X40C_gut.q05	expression.sample.X40C_gut.q50	expression.sample.X40C_gut.q95	expression.sample.X40C_gut.q99	expression.sample.X38C_gut.q01	expression.sample.X38C_gut.q05	expression.sample.X38C_gut.q50	expression.sample.X38C_gut.q95	expression.sample.X38C_gut.q99	expression.sample.X21C_gut.q01	expression.sample.X21C_gut.q05	expression.sample.X21C_gut.q50	expression.sample.X21C_gut.q95	expression.sample.X21C_gut.q99	expression.sample.X26C_gut.q01	expression.sample.X26C_gut.q05	expression.sample.X26C_gut.q50	expression.sample.X26C_gut.q95	expression.sample.X26C_gut.q99	expression.sample.X39C_gut.q01	expression.sample.X39C_gut.q05	expression.sample.X39C_gut.q50	expression.sample.X39C_gut.q95	expression.sample.X39C_gut.q99	expression.sample.X42C_gut.q01	expression.sample.X42C_gut.q05	expression.sample.X42C_gut.q50	expression.sample.X42C_gut.q95	expression.sample.X42C_gut.q99	expression.sample.X19C_gut.q01	expression.sample.X19C_gut.q05	expression.sample.X19C_gut.q50	expression.sample.X19C_gut.q95	expression.sample.X19C_gut.q99	expression.sample.X43C_gut.q01	expression.sample.X43C_gut.q05	expression.sample.X43C_gut.q50	expression.sample.X43C_gut.q95	expression.sample.X43C_gut.q99	expression.sample.X24C_gut.q01	expression.sample.X24C_gut.q05	expression.sample.X24C_gut.q50	expression.sample.X24C_gut.q95	expression.sample.X24C_gut.q99	expression.sample.X44C_gut.q01	expression.sample.X44C_gut.q05	expression.sample.X44C_gut.q50	expression.sample.X44C_gut.q95	expression.sample.X44C_gut.q99	expression.sample.X41C_gut.q01	expression.sample.X41C_gut.q05	expression.sample.X41C_gut.q50	expression.sample.X41C_gut.q95	expression.sample.X41C_gut.q99	expression.sample.X34C_gut.q01	expression.sample.X34C_gut.q05	expression.sample.X34C_gut.q50	expression.sample.X34C_gut.q95	expression.sample.X34C_gut.q99	difference.between.q01	difference.between.q05	difference.between.q50	difference.between.q95	difference.between.q99	difference.within.q01	difference.within.q05	difference.within.q50	difference.within.q95	difference.within.q99	effect.q01	effect.q05	effect.q50	effect.q95	effect.q99	criteria.significance	criteria.significant	criteria.meaning	criteria.meaningful
1	-14.286	-9.79	-3.054	0.309	1.296	-13.968	-9.55	-3.029	-0.161	0.718	-14.533	-9.978	-3.082	0.696	1.551	-16.392	-12.059	-3.942	-0.749	-0.078	-6.283	-4.573	-1.849	-0.099	0.614	-14.948	-11.036	-4.311	-1.366	-0.486	-12.908	-9.334	-3.034	0.015	0.875	-14.41	-10.514	-3.753	-0.725	-0.078	-6.944	-5.238	-2.632	-0.891	-0.496	-6.817	-4.655	-1.809	-0.053	0.535	-14.732	-10.014	-4.12	-1.059	-0.314	-13.731	-8.779	-2.816	0.194	0.9	-13.597	-10.013	-2.764	0.308	0.995	-14.578	-10.652	-3.987	-0.772	0.035	-6.352	-4.471	-1.593	0.189	0.769	-13.918	-9.758	-3.498	-0.218	0.556	-14.934	-11.149	-3.691	-0.605	0.087	-15.173	-10.578	-3.312	-0.324	0.333	-15.968	-10.76	-4.215	-1.04	-0.266	-14.024	-10.648	-4.275	-1.206	-0.372	-16.598	-11.048	-4.18	-0.996	-0.235	-14.057	-8.739	-2.155	0.941	1.895	-5.258	-3.867	-1.24	0.558	1.111	-3.292	-2.153	-0.311	1.114	1.552	-14.358	-9.8	-3.868	-0.951	-0.196	-14.803	-10.17	-3.251	-0.096	0.716	-17.027	-11.773	-4.76	-1.68	-0.85	-14.887	-9.917	-3.55	-0.638	0.173	-16.322	-11.421	-3.807	-0.924	-0.175	-14.276	-10.731	-3.909	-0.901	0.081	-13.977	-9.312	-2.707	0.397	1.096	-15.708	-11.822	-4.713	-1.616	-0.823	-5.54	-3.894	-1.142	0.64	1.124	-1.246	-0.484	0.861	1.878	2.283	-14.716	-9.81	-2.46	0.607	1.226	-15.75	-10.803	-3.913	-1.001	-0.298	-16.168	-10.094	-3.536	-0.311	0.441	-14.203	-10.142	-3.475	-0.511	0.112	-16.219	-10.288	-3.618	-0.606	0.207	-14.127	-10.053	-3.638	-0.49	0.458	-12.814	-9.042	-1.729	1.352	2.217	-15.628	-10.885	-4.012	-0.987	-0.219	-14.878	-10.57	-3.663	-0.688	0.089	-11.983	-7.32	0.076	7.292	11.771	0.47	1.068	4.25	11.261	15.775	-6.373	-2.523	0.016	2.385	5.956	0.492	FALSE	0.016	FALSE
2	-11.166	-6.542	-0.721	1.728	2.534	-10.083	-5.357	-0.633	1.236	1.918	-11.86	-7.218	-0.87	2.13	2.709	-13.837	-10.282	-3.813	-0.683	0.172	-2.701	-1.939	-0.465	0.684	1.01	-2.976	-2.24	-0.669	0.477	0.864	-0.702	-0.162	1.161	2.23	2.534	-3.314	-2.424	-0.495	0.781	1.27	-17.134	-12.115	-5.051	-2.06	-1.308	-3.733	-2.832	-0.942	0.432	0.767	-1.796	-1.197	0.138	1.137	1.442	-14.95	-9.87	-2.798	0.278	0.998	-4.597	-3.195	-0.383	1.222	1.802	-5.901	-4.551	-1.627	-0.004	0.576	-3.579	-2.589	-0.729	0.611	1.01	-2.107	-1.181	0.322	1.451	1.872	-3.136	-2.186	-0.461	0.915	1.353	-3.094	-2.199	-0.112	1.289	1.707	-6.14	-4.49	-1.746	-0.077	0.412	-2.884	-2.18	-0.542	0.612	0.915	-3.74	-2.709	-0.845	0.479	0.976	-4.2	-2.495	0.194	1.882	2.472	-1.963	-1.264	0.214	1.345	1.739	-3.319	-2.193	-0.317	1.079	1.414	1.43	1.733	2.32	2.881	3.082	-1.854	-1.008	0.536	1.754	2.098	-15.817	-11.524	-4.729	-1.599	-0.787	-0.861	-0.35	0.86	1.773	2.085	-5.944	-4.443	-1.478	0.144	0.769	-3.74	-2.771	-0.768	0.63	1.135	-2.446	-1.295	0.666	1.985	2.446	-15.624	-11.404	-4.571	-1.54	-0.772	-15.713	-9.816	-3.456	-0.295	0.63	-14.089	-10.27	-3.405	-0.277	0.58	-5.037	-2.86	-0.069	1.526	2.17	-6.269	-4.429	-1.624	0.089	0.757	-15.341	-10.236	-3.451	-0.301	0.456	-5.538	-3.944	-1.25	0.442	0.994	-5.537	-4.035	-1.267	0.376	1.039	-15.511	-10.577	-3.595	-0.368	0.406	-1.682	-0.574	1.416	2.776	3.282	-3.621	-2.683	-0.777	0.56	1.038	-0.643	-0.054	0.987	1.868	2.196	-11.336	-6.703	-0.124	5.099	9.667	0.346	0.778	3.25	10.013	14.651	-8.181	-3.091	-0.03	2.42	6.561	0.482	FALSE	0.03	FALSE
3	0.316	1.331	3.069	4.721	5.125	1.004	1.648	2.937	4.723	5.02	-0.042	1.024	3.211	4.717	5.189	2.682	2.857	3.35	3.769	3.946	4.546	4.633	4.888	5.135	5.228	3.462	3.597	3.906	4.215	4.343	2.105	2.401	3.09	3.688	3.946	0.666	1.132	1.894	2.572	2.852	2.345	2.526	2.883	3.219	3.356	2.084	2.29	2.757	3.2	3.393	1.68	1.895	2.459	2.97	3.184	1.757	2.098	2.861	3.533	3.803	2.895	3.107	3.678	4.248	4.459	1.339	1.698	2.292	2.834	3.019	1.424	1.668	2.263	2.799	3.034	2.553	2.763	3.291	3.789	3.992	0.066	0.531	1.551	2.3	2.653	2.381	2.657	3.213	3.718	3.911	1.796	2.043	2.603	3.086	3.292	2.008	2.229	2.734	3.131	3.365	2.124	2.331	2.806	3.273	3.459	2.434	2.87	3.647	4.292	4.583	4.019	4.166	4.513	4.838	4.944	2.788	2.977	3.474	3.898	4.071	3.353	3.507	3.881	4.248	4.417	0.346	0.987	1.865	2.671	2.897	0.504	0.834	1.499	2.057	2.264	2.272	2.548	3.078	3.558	3.735	-1.173	-0.567	0.567	1.545	1.973	4.672	4.79	5.048	5.311	5.401	1.644	2	2.844	3.508	3.708	1.664	1.865	2.342	2.776	2.986	0.418	0.975	1.914	2.65	2.92	3.254	3.467	3.892	4.327	4.488	2.647	2.997	3.626	4.222	4.559	2.538	2.706	3.213	3.61	3.777	1.939	2.298	2.9	3.476	3.645	2.881	3.104	3.555	4.007	4.121	2.412	2.614	3.13	3.598	3.768	2.813	3.061	3.544	4.003	4.218	2.651	3.046	3.835	4.55	4.832	2.189	2.433	2.92	3.399	3.562	2.91	3.064	3.497	3.941	4.069	-3.599	-2.421	0.124	2.097	2.926	0.173	0.392	1.495	3.235	4.13	-5.161	-2.225	0.082	2.126	5.268	0.462	FALSE	0.082	FALSE
4	-10.752	-6.237	-0.498	1.69	2.284	-10.628	-6.074	-0.705	1.394	1.966	-10.948	-6.415	-0.241	1.891	2.46	-16.143	-10.763	-3.917	-0.824	0.178	-1.027	-0.561	0.487	1.391	1.713	-0.443	0.042	0.861	1.61	1.906	-4.722	-3.354	-0.608	1.115	1.648	-5.543	-3.909	-1.342	0.438	0.96	-2.757	-2.22	-0.914	0.109	0.456	-15.787	-11.227	-4.393	-0.931	-0.17	-15.698	-10.763	-4.017	-0.903	-0.169	-0.656	-0.047	1.309	2.337	2.708	-2.327	-1.383	0.464	1.74	2.17	-5.901	-4.373	-1.587	0.127	0.732	-2.625	-1.747	-0.194	0.922	1.33	-5.224	-3.382	-1.051	0.69	1.164	-5.773	-4.313	-1.297	0.511	1.069	-5.164	-3.611	-0.944	0.759	1.311	-2.132	-1.489	0.098	1.081	1.425	-4.045	-3.099	-1.174	0.257	0.75	-0.611	-0.118	0.862	1.691	2.019	-13.91	-8.886	-2.104	1.047	1.687	-5.294	-3.886	-1.199	0.525	0.965	-3.204	-2.299	-0.299	1.102	1.479	-0.434	-0.047	0.922	1.747	1.985	-4.877	-3.352	-0.884	0.802	1.291	-15.162	-11.282	-4.713	-1.584	-0.742	-2.243	-1.316	0.167	1.218	1.62	-5.699	-4.165	-1.587	0.113	0.801	-6.289	-4.398	-1.617	0.167	0.61	-16.075	-9.546	-2.719	0.449	1.307	-0.947	-0.507	0.464	1.195	1.473	-16.149	-9.911	-3.507	-0.45	0.47	-0.697	0.017	1.17	2.155	2.545	-0.06	0.367	1.732	2.737	3.034	-0.372	0.058	1.006	1.828	2.131	-2.888	-1.949	-0.118	1.326	1.802	-3.659	-2.426	-0.362	1.014	1.459	-14.882	-10.962	-3.757	-0.579	0.32	0.169	0.727	1.695	2.464	2.801	-15.533	-8.162	-1.567	1.437	2.123	-5.685	-3.977	-1.602	0.136	0.701	-0.652	-0.145	0.976	1.814	2.162	-10.417	-5.782	0.408	5.968	10.472	0.343	0.777	3.211	9.867	14.638	-7.292	-2.661	0.101	2.596	6.776	0.438	FALSE	0.101	FALSE
5	-13.694	-9.455	-2.608	0.261	1.003	-13.93	-9.575	-2.615	0.245	0.93	-13.534	-9.344	-2.604	0.273	1.056	-14.958	-11.11	-3.801	-0.718	-0.01	-15.708	-11.583	-4.188	-1.076	-0.137	-15.28	-10.963	-4.41	-1.341	-0.559	-14.99	-9.582	-3.013	0.078	0.8	-5.451	-3.892	-1.436	0.397	1.002	-2.749	-2.177	-0.897	0.185	0.511	-13.72	-10.862	-4.219	-1.083	-0.117	-16.238	-11.376	-4.175	-0.997	-0.136	-14.139	-9.156	-2.825	0.333	0.824	-14.544	-9.848	-2.893	0.281	1.284	-3.409	-2.522	-0.659	0.725	1.131	-14.253	-10.542	-4.032	-0.841	0.016	-14.268	-10.406	-3.394	-0.321	0.403	-15.12	-10.1	-3.698	-0.448	0.358	-5.505	-3.846	-0.987	0.74	1.199	-14.488	-10.521	-4.167	-1.138	-0.169	-15.727	-11.704	-4.463	-1.327	-0.389	-2.728	-1.779	-0.309	0.836	1.222	-14.924	-8.51	-2.184	0.938	1.831	-5.468	-3.95	-1.248	0.444	1.041	-14.665	-10.088	-3.642	-0.685	0.048	-6.278	-4.47	-1.672	0.032	0.45	-13.644	-10.242	-3.393	-0.291	0.376	-14.425	-10.895	-4.653	-1.711	-1.018	-3.352	-2.355	-0.387	0.983	1.38	-14.971	-10.356	-4.121	-0.919	-0.22	-5.817	-4.488	-1.533	0.073	0.723	-14.39	-9.167	-2.422	0.39	1.186	-6.476	-5.035	-2.332	-0.634	-0.002	-5.186	-3.713	-1.013	0.756	1.223	-16.344	-10.724	-3.493	-0.436	0.647	-14.419	-9.816	-2.488	0.619	1.254	-14.578	-10.513	-4.061	-0.961	-0.227	-13.613	-10.037	-3.387	-0.368	0.311	-14.161	-10.013	-3.381	-0.554	0.096	-3.208	-2.34	-0.503	0.879	1.416	-14.023	-10.831	-3.658	-0.469	0.363	-11.903	-8.517	-1.607	1.405	2.203	-15.16	-10.784	-3.923	-0.897	-0.151	-14.007	-10.308	-3.708	-0.759	0.078	-11.478	-7.101	-0.002	7.335	11.749	0.45	1.026	4.149	11.016	15.515	-6.574	-2.555	0	2.35	5.996	0.5	FALSE	0	FALSE
6	-11.98	-7.438	-0.995	1.459	2.358	-11.347	-6.898	-0.775	1.366	2.022	-12.324	-7.905	-1.234	1.602	2.662	-2.593	-1.589	0.034	1.213	1.495	-0.783	-0.266	0.73	1.54	1.863	-16.007	-11.786	-4.668	-1.413	-0.74	-4.839	-3.288	-0.703	1.016	1.641	-15.703	-10.126	-3.862	-0.816	0.04	-7.368	-5.448	-2.736	-0.991	-0.393	-0.783	-0.196	0.797	1.636	1.823	-14.07	-10.313	-3.978	-0.969	-0.292	-0.542	0.075	1.34	2.342	2.66	-15.316	-9.859	-2.846	0.299	0.951	-2.337	-1.675	-0.163	1.017	1.369	-2.619	-1.658	-0.163	0.948	1.383	-2.931	-1.923	-0.143	1.181	1.647	-5.845	-3.857	-1.244	0.493	1.035	-5.615	-3.924	-0.985	0.837	1.452	-2.814	-1.85	-0.329	0.899	1.262	-15.034	-11.014	-4.359	-1.258	-0.421	-5.797	-4.385	-1.703	0.009	0.691	-3.954	-2.52	0.226	1.932	2.383	-3.337	-2.124	-0.33	1.006	1.399	-5.779	-3.948	-1.16	0.46	0.878	-2.87	-1.763	-0.278	0.856	1.242	-13.748	-10.1	-3.297	-0.237	0.521	-17.794	-11.983	-4.817	-1.538	-0.874	-14.544	-10.365	-3.674	-0.603	0.321	-2.372	-1.638	-0.145	1.058	1.427	-16.787	-10.809	-4.05	-0.909	-0.229	-14.137	-10.227	-2.689	0.371	1.14	-6.984	-4.933	-2.268	-0.582	-0.098	-2.249	-1.123	0.376	1.564	1.965	-14.33	-9.394	-3.277	-0.28	0.279	-2.34	-1.202	0.792	2.049	2.466	-3.836	-2.747	-0.707	0.611	1.019	-14.531	-10.215	-3.394	-0.274	0.585	-6.201	-3.859	-1.178	0.616	1.142	-0.999	-0.359	0.794	1.688	2.075	-14.854	-10.807	-3.357	-0.412	0.418	-0.273	0.431	2.057	3.213	3.527	-5.695	-4.371	-1.577	0.111	0.656	-2.333	-1.517	0.01	1.24	1.601	-11.817	-7.241	-0.36	6.046	10.454	0.372	0.865	3.67	10.595	15.122	-8.216	-3.179	-0.083	2.199	6.093	0.453	FALSE	0.083	FALSE
7	-11.546	-6.856	-0.852	1.501	2.125	-9.871	-5.399	-0.697	1.675	2.239	-12.537	-7.928	-1.06	1.301	1.901	-5.352	-4.118	-1.526	0.341	0.85	-1.435	-0.94	0.212	1.082	1.478	-2.234	-1.525	-0.248	0.71	1.074	-1.612	-0.835	0.783	2.031	2.351	-5.713	-4.077	-1.376	0.259	0.858	-2.316	-1.753	-0.625	0.368	0.729	-3.753	-2.808	-0.923	0.389	0.821	-5.938	-4.324	-1.647	0.057	0.577	-1.406	-0.63	0.893	2.074	2.425	-4.883	-3.153	-0.453	1.236	1.858	-3.634	-2.705	-0.733	0.616	1.017	-5.48	-4.318	-1.581	0.17	0.742	0.13	0.611	1.561	2.432	2.712	-0.365	0.069	1.132	2.067	2.327	-14.804	-9.891	-3.302	-0.281	0.449	-3.956	-2.803	-0.877	0.522	0.979	-15.251	-11.1	-4.428	-1.238	-0.44	-6.205	-4.475	-1.724	0.005	0.583	-4.359	-2.6	0.307	2.025	2.583	-16.328	-10.422	-3.719	-0.537	0.35	-13.802	-10.226	-3.584	-0.345	0.339	-0.493	-0.078	0.893	1.825	2.145	-5.214	-3.608	-0.946	0.82	1.406	-1.486	-0.953	0.131	0.964	1.23	-5.726	-4.188	-1.317	0.453	1.052	-16.458	-10.966	-3.87	-0.996	0.126	-15.561	-10.642	-3.992	-0.792	-0.074	-4.598	-2.916	-0.306	1.516	1.913	-16.456	-11.571	-4.688	-1.644	-0.898	-1.138	-0.583	0.774	1.754	2.133	-16.286	-10.049	-3.289	-0.263	0.51	-12.849	-9.238	-2.334	0.628	1.552	-4.09	-2.761	-0.726	0.62	1.068	-14.596	-10.548	-3.235	-0.425	0.541	-5.148	-4.04	-1.224	0.486	1.201	-3.262	-2.26	-0.46	0.885	1.426	-1.963	-1.226	0.331	1.538	1.982	-3.648	-2.142	0.537	2.236	2.877	-16.177	-10.715	-4.007	-0.862	-0.04	-2.367	-1.398	-0.004	1.216	1.536	-12.143	-7.45	-0.491	4.722	8.979	0.381	0.859	3.435	10.148	15.045	-7.806	-3.06	-0.121	1.914	5.041	0.43	FALSE	0.121	FALSE
8	1.223	1.738	3.178	5.583	6.325	1.79	2.133	3.353	5.583	5.941	1.032	1.516	2.874	5.872	6.41	2.449	2.648	3.151	3.613	3.789	5.531	5.614	5.831	6.044	6.134	2.706	2.906	3.278	3.638	3.777	3.979	4.141	4.57	4.973	5.126	1.81	2.052	2.684	3.246	3.444	1.519	1.709	2.155	2.57	2.814	3.365	3.535	3.885	4.216	4.36	2.586	2.774	3.222	3.634	3.807	3.393	3.595	4.068	4.563	4.721	4.645	4.8	5.195	5.53	5.662	2.264	2.457	2.966	3.385	3.573	1.861	2.131	2.679	3.199	3.354	2.529	2.776	3.302	3.788	3.971	2.725	2.993	3.463	3.876	4.01	2.065	2.254	2.914	3.482	3.765	1.764	1.989	2.54	3.038	3.284	3.088	3.247	3.593	3.927	4.061	3.635	3.793	4.13	4.449	4.587	3.265	3.514	4.132	4.672	4.843	1.329	1.668	2.374	3.022	3.226	3.342	3.492	3.919	4.322	4.427	3.119	3.273	3.646	3.997	4.128	1.416	1.859	2.561	3.201	3.463	1.77	1.934	2.383	2.812	2.977	1.804	2.035	2.654	3.212	3.46	1.387	1.687	2.316	2.843	3.072	0.627	1.003	1.767	2.375	2.588	2.54	2.846	3.53	4.137	4.301	1.062	1.368	1.919	2.399	2.591	2.298	2.552	3.127	3.627	3.802	3.563	3.757	4.172	4.548	4.704	4.032	4.213	4.684	5.157	5.302	1.49	1.725	2.34	2.854	3.058	1.321	1.584	2.355	3.028	3.227	1.161	1.457	2.144	2.799	3.027	2.487	2.699	3.188	3.636	3.844	5.971	6.062	6.287	6.534	6.643	3.734	3.977	4.609	5.168	5.371	0.375	0.788	1.585	2.242	2.546	2.346	2.545	3.064	3.538	3.779	-3.857	-2.885	-0.464	2.292	3.623	0.196	0.442	1.679	3.713	4.571	-6.46	-2.648	-0.267	1.877	5.02	0.377	FALSE	0.267	FALSE
9	-15.26	-10.616	-3.732	-0.383	0.651	-15.368	-10.657	-3.807	-0.485	0.529	-15.037	-10.584	-3.656	-0.301	0.76	-13.925	-10.381	-3.867	-0.622	0.166	-15.729	-11.2	-4.292	-1.21	-0.674	-16.832	-11.366	-4.285	-1.182	-0.536	-13.601	-10.13	-2.955	-0.068	0.927	-15.941	-10.913	-3.696	-0.669	0.156	-19.342	-12.678	-4.938	-1.894	-1.249	-17.203	-10.874	-4.255	-1.043	-0.367	-15.145	-10.81	-3.946	-0.938	-0.224	-14.444	-10.018	-3.033	0.18	1.061	-14.42	-9.935	-2.911	0.26	1.098	-15.606	-11.241	-4.023	-0.899	-0.205	-13.642	-10.533	-3.937	-0.963	-0.182	-15.24	-10.395	-3.605	-0.495	0.346	-14.424	-9.832	-3.71	-0.563	0.204	-14.965	-9.892	-3.443	-0.236	0.545	-14.706	-10.698	-3.999	-1.053	-0.161	-15.697	-11.308	-4.394	-1.291	-0.395	-14.988	-10.52	-4.091	-1.087	-0.166	-15.792	-9.785	-2.025	0.941	1.833	-15.22	-10.404	-3.5	-0.432	0.192	-16.169	-10.824	-3.667	-0.583	0.372	-16.105	-11.31	-4.203	-0.971	-0.197	-16.081	-10.706	-3.347	-0.213	0.568	-15.948	-12.045	-4.682	-1.534	-0.827	-14.321	-10.561	-3.777	-0.508	0.477	-16.478	-10.779	-3.903	-0.866	0.113	-14.976	-10.413	-3.929	-1.095	-0.229	-15.488	-9.844	-2.658	0.45	1.335	-16.713	-11.701	-4.633	-1.612	-0.66	-13.846	-10.042	-3.602	-0.435	0.257	-14.343	-10.1	-3.249	-0.306	0.459	-12.901	-8.938	-2.512	0.563	1.443	-16.302	-10.64	-4.09	-0.965	-0.221	-13.799	-10.746	-3.59	-0.305	0.384	-14.87	-10.433	-3.766	-0.503	0.293	-15.679	-10.554	-3.667	-0.538	0.439	-14.726	-10.482	-3.504	-0.332	0.574	-12.484	-8.926	-1.897	1.278	2.013	-14.262	-10.506	-4.061	-0.987	-0.35	-15.818	-11.332	-3.735	-0.615	0.163	-11.949	-7.372	0.135	7.588	12.319	0.47	1.077	4.304	11.479	16.195	-6.286	-2.485	0.028	2.508	6.302	0.486	FALSE	0.028	FALSE
