expression.among.q01	expression.among.q05	expression.among.q50	expression.among.q95	expression.among.q99	expression.within.P.q01	expression.within.P.q05	expression.within.P.q50	expression.within.P.q95	expression.within.P.q99	expression.within.R.q01	expression.within.R.q05	expression.within.R.q50	expression.within.R.q95	expression.within.R.q99	expression.sample.X12B_gut.q01	expression.sample.X12B_gut.q05	expression.sample.X12B_gut.q50	expression.sample.X12B_gut.q95	expression.sample.X12B_gut.q99	expression.sample.X33B_gut.q01	expression.sample.X33B_gut.q05	expression.sample.X33B_gut.q50	expression.sample.X33B_gut.q95	expression.sample.X33B_gut.q99	expression.sample.X01B_gut.q01	expression.sample.X01B_gut.q05	expression.sample.X01B_gut.q50	expression.sample.X01B_gut.q95	expression.sample.X01B_gut.q99	expression.sample.X06B_gut.q01	expression.sample.X06B_gut.q05	expression.sample.X06B_gut.q50	expression.sample.X06B_gut.q95	expression.sample.X06B_gut.q99	expression.sample.X11B_gut.q01	expression.sample.X11B_gut.q05	expression.sample.X11B_gut.q50	expression.sample.X11B_gut.q95	expression.sample.X11B_gut.q99	expression.sample.X30B_gut.q01	expression.sample.X30B_gut.q05	expression.sample.X30B_gut.q50	expression.sample.X30B_gut.q95	expression.sample.X30B_gut.q99	expression.sample.X27B_gut.q01	expression.sample.X27B_gut.q05	expression.sample.X27B_gut.q50	expression.sample.X27B_gut.q95	expression.sample.X27B_gut.q99	expression.sample.X07B_gut.q01	expression.sample.X07B_gut.q05	expression.sample.X07B_gut.q50	expression.sample.X07B_gut.q95	expression.sample.X07B_gut.q99	expression.sample.X02B_gut.q01	expression.sample.X02B_gut.q05	expression.sample.X02B_gut.q50	expression.sample.X02B_gut.q95	expression.sample.X02B_gut.q99	expression.sample.X31B_gut.q01	expression.sample.X31B_gut.q05	expression.sample.X31B_gut.q50	expression.sample.X31B_gut.q95	expression.sample.X31B_gut.q99	expression.sample.X35B_gut.q01	expression.sample.X35B_gut.q05	expression.sample.X35B_gut.q50	expression.sample.X35B_gut.q95	expression.sample.X35B_gut.q99	expression.sample.X08B_gut.q01	expression.sample.X08B_gut.q05	expression.sample.X08B_gut.q50	expression.sample.X08B_gut.q95	expression.sample.X08B_gut.q99	expression.sample.X03B_gut.q01	expression.sample.X03B_gut.q05	expression.sample.X03B_gut.q50	expression.sample.X03B_gut.q95	expression.sample.X03B_gut.q99	expression.sample.X28B_gut.q01	expression.sample.X28B_gut.q05	expression.sample.X28B_gut.q50	expression.sample.X28B_gut.q95	expression.sample.X28B_gut.q99	expression.sample.X29B_gut.q01	expression.sample.X29B_gut.q05	expression.sample.X29B_gut.q50	expression.sample.X29B_gut.q95	expression.sample.X29B_gut.q99	expression.sample.X17B_gut.q01	expression.sample.X17B_gut.q05	expression.sample.X17B_gut.q50	expression.sample.X17B_gut.q95	expression.sample.X17B_gut.q99	expression.sample.X10B_gut.q01	expression.sample.X10B_gut.q05	expression.sample.X10B_gut.q50	expression.sample.X10B_gut.q95	expression.sample.X10B_gut.q99	expression.sample.X09B_gut.q01	expression.sample.X09B_gut.q05	expression.sample.X09B_gut.q50	expression.sample.X09B_gut.q95	expression.sample.X09B_gut.q99	expression.sample.X23B_gut.q01	expression.sample.X23B_gut.q05	expression.sample.X23B_gut.q50	expression.sample.X23B_gut.q95	expression.sample.X23B_gut.q99	expression.sample.X32B_gut.q01	expression.sample.X32B_gut.q05	expression.sample.X32B_gut.q50	expression.sample.X32B_gut.q95	expression.sample.X32B_gut.q99	expression.sample.X05B_gut.q01	expression.sample.X05B_gut.q05	expression.sample.X05B_gut.q50	expression.sample.X05B_gut.q95	expression.sample.X05B_gut.q99	expression.sample.X37B_gut.q01	expression.sample.X37B_gut.q05	expression.sample.X37B_gut.q50	expression.sample.X37B_gut.q95	expression.sample.X37B_gut.q99	expression.sample.X36B_gut.q01	expression.sample.X36B_gut.q05	expression.sample.X36B_gut.q50	expression.sample.X36B_gut.q95	expression.sample.X36B_gut.q99	expression.sample.X04B_gut.q01	expression.sample.X04B_gut.q05	expression.sample.X04B_gut.q50	expression.sample.X04B_gut.q95	expression.sample.X04B_gut.q99	expression.sample.X16B_gut.q01	expression.sample.X16B_gut.q05	expression.sample.X16B_gut.q50	expression.sample.X16B_gut.q95	expression.sample.X16B_gut.q99	expression.sample.X14B_gut.q01	expression.sample.X14B_gut.q05	expression.sample.X14B_gut.q50	expression.sample.X14B_gut.q95	expression.sample.X14B_gut.q99	expression.sample.X20B_gut.q01	expression.sample.X20B_gut.q05	expression.sample.X20B_gut.q50	expression.sample.X20B_gut.q95	expression.sample.X20B_gut.q99	expression.sample.X25B_gut.q01	expression.sample.X25B_gut.q05	expression.sample.X25B_gut.q50	expression.sample.X25B_gut.q95	expression.sample.X25B_gut.q99	expression.sample.X40B_gut.q01	expression.sample.X40B_gut.q05	expression.sample.X40B_gut.q50	expression.sample.X40B_gut.q95	expression.sample.X40B_gut.q99	expression.sample.X38B_gut.q01	expression.sample.X38B_gut.q05	expression.sample.X38B_gut.q50	expression.sample.X38B_gut.q95	expression.sample.X38B_gut.q99	expression.sample.X21B_gut.q01	expression.sample.X21B_gut.q05	expression.sample.X21B_gut.q50	expression.sample.X21B_gut.q95	expression.sample.X21B_gut.q99	expression.sample.X26B_gut.q01	expression.sample.X26B_gut.q05	expression.sample.X26B_gut.q50	expression.sample.X26B_gut.q95	expression.sample.X26B_gut.q99	expression.sample.X39B_gut.q01	expression.sample.X39B_gut.q05	expression.sample.X39B_gut.q50	expression.sample.X39B_gut.q95	expression.sample.X39B_gut.q99	expression.sample.X42B_gut.q01	expression.sample.X42B_gut.q05	expression.sample.X42B_gut.q50	expression.sample.X42B_gut.q95	expression.sample.X42B_gut.q99	expression.sample.X19B_gut.q01	expression.sample.X19B_gut.q05	expression.sample.X19B_gut.q50	expression.sample.X19B_gut.q95	expression.sample.X19B_gut.q99	expression.sample.X43B_gut.q01	expression.sample.X43B_gut.q05	expression.sample.X43B_gut.q50	expression.sample.X43B_gut.q95	expression.sample.X43B_gut.q99	expression.sample.X24B_gut.q01	expression.sample.X24B_gut.q05	expression.sample.X24B_gut.q50	expression.sample.X24B_gut.q95	expression.sample.X24B_gut.q99	expression.sample.X44B_gut.q01	expression.sample.X44B_gut.q05	expression.sample.X44B_gut.q50	expression.sample.X44B_gut.q95	expression.sample.X44B_gut.q99	expression.sample.X41B_gut.q01	expression.sample.X41B_gut.q05	expression.sample.X41B_gut.q50	expression.sample.X41B_gut.q95	expression.sample.X41B_gut.q99	expression.sample.X34B_gut.q01	expression.sample.X34B_gut.q05	expression.sample.X34B_gut.q50	expression.sample.X34B_gut.q95	expression.sample.X34B_gut.q99	difference.between.q01	difference.between.q05	difference.between.q50	difference.between.q95	difference.between.q99	difference.within.q01	difference.within.q05	difference.within.q50	difference.within.q95	difference.within.q99	effect.q01	effect.q05	effect.q50	effect.q95	effect.q99	criteria.significance	criteria.significant	criteria.meaning	criteria.meaningful
1	-14.869	-10.137	-3.278	-0.19	0.613	-15.163	-10.288	-3.414	-0.191	0.623	-14.603	-9.929	-3.15	-0.189	0.61	-17.085	-11.484	-4.082	-1.084	-0.338	-14.081	-9.77	-2.211	0.857	1.596	-15.176	-9.735	-2.981	0.057	0.753	-16.681	-11.405	-4.009	-0.814	0.081	-13.039	-9.871	-3.549	-0.497	0.196	-16.091	-11.153	-4.589	-1.592	-0.818	-15.293	-9.86	-2.99	0.093	0.926	-5.712	-4.147	-1.165	0.462	1.076	-18.15	-12.25	-4.715	-1.571	-0.708	-14.435	-10.66	-3.689	-0.693	0.284	-14.244	-10.234	-3.598	-0.489	0.301	-14.077	-11.01	-4.004	-0.832	0.043	-15.88	-11.822	-5.195	-2.001	-1.179	-15.681	-10.375	-4.266	-1.313	-0.473	-16.846	-11.629	-4.194	-1.08	-0.152	-15.46	-10.34	-3.658	-0.842	-0.063	-17.123	-10.687	-3.611	-0.542	0.143	-5.757	-4.168	-1.406	0.187	0.716	-13.347	-10.156	-3.777	-0.568	0.226	-5.763	-4.448	-1.326	0.412	0.92	-3.555	-2.628	-1.148	-0.028	0.391	-14.054	-9.86	-2.558	0.48	1.211	-15.24	-10.082	-3.14	-0.177	0.7	-16.365	-11.403	-4.397	-1.293	-0.486	-14.259	-10.599	-3.937	-0.885	0.162	-16.181	-11.495	-3.898	-0.826	-0.038	-17.301	-9.865	-3.44	-0.65	0.114	-14.911	-10.112	-3.822	-0.708	0.049	-15.178	-10.219	-3.06	0.024	0.752	-14.973	-10.681	-4.093	-0.924	-0.138	-4.926	-3.704	-0.888	0.743	1.317	-14.578	-9.733	-3.185	-0.118	0.718	-15.224	-9.672	-2.686	0.225	1.16	-15.736	-10.552	-4.521	-1.301	-0.457	-15.439	-10.308	-3.668	-0.754	0.128	-15.696	-10.359	-4.019	-0.778	-0.22	-14.915	-10.202	-3.072	-0.102	0.844	-15.958	-10.56	-3.664	-0.429	0.272	-6.397	-4.721	-1.924	-0.13	0.253	-14.737	-11.005	-3.914	-0.827	0.003	-11.927	-7.145	0.205	7.587	12.298	0.464	1.046	4.227	11.411	16.275	-6.369	-2.489	0.042	2.56	6.507	0.478	FALSE	0.042	FALSE
2	-9.236	-5.206	-0.743	1.096	1.709	-9.771	-5.423	-0.85	0.877	1.393	-8.772	-4.967	-0.618	1.277	1.891	-2.077	-1.44	-0.043	0.972	1.284	-14.461	-9.33	-2.372	0.825	1.553	-5.339	-3.679	-0.555	0.975	1.515	-3.783	-2.594	-0.641	0.81	1.217	-3.099	-2.209	-0.282	1.139	1.627	-2.939	-2.189	-0.699	0.346	0.741	-4.354	-3.268	-0.685	1.077	1.511	-2.241	-1.41	0.247	1.438	1.864	-15.403	-11.628	-4.55	-1.522	-0.535	-13.41	-10.179	-3.709	-0.503	0.219	-5.433	-3.903	-1.124	0.635	1.322	-2.425	-1.652	-0.044	1.045	1.427	-7.114	-5.727	-2.7	-0.915	-0.47	-3.947	-2.806	-1.085	0.245	0.845	-2.833	-1.822	-0.238	0.991	1.403	-6.034	-4.471	-1.534	0.269	0.738	-3.433	-2.308	-0.436	0.907	1.267	-2.431	-1.645	-0.046	1.155	1.525	-5.553	-4.065	-1.278	0.456	1.056	-6.082	-4.369	-1.411	0.362	0.915	-7.03	-5.379	-2.589	-0.858	-0.344	-5.075	-3.147	-0.374	1.416	1.891	-1.151	-0.321	1.116	2.135	2.568	-1.642	-1.148	0.106	1.083	1.444	-2.214	-1.661	-0.142	1.045	1.577	-6.063	-4.552	-1.635	0.258	0.774	-5.569	-3.939	-1.25	0.403	0.893	-5.884	-4.205	-1.471	0.279	0.833	-2.619	-1.611	0.166	1.479	1.918	-2.021	-1.237	0.073	1.117	1.497	-3.199	-2.086	-0.16	1.256	1.649	-5.265	-3.565	-0.645	1.087	1.578	-2.64	-1.611	0.366	1.808	2.292	-6.67	-4.85	-1.969	-0.242	0.281	-3.383	-2.249	-0.395	0.928	1.442	-5.762	-4.343	-1.519	0.259	0.793	-3.001	-1.71	0.177	1.485	1.949	-15.559	-10.01	-3.553	-0.401	0.38	-15.428	-10.326	-4.289	-1.292	-0.451	-2.634	-1.689	-0.072	1.064	1.51	-7.953	-4.28	0.263	4.994	9.169	0.284	0.637	2.577	8.017	12.269	-6.259	-2.393	0.083	2.813	7.334	0.451	FALSE	0.083	FALSE
3	0.831	1.536	2.971	5.133	5.694	0.603	1.341	3.001	5.384	5.784	1.224	1.732	2.948	4.766	5.309	2.204	2.397	2.865	3.287	3.496	2.69	2.973	3.69	4.283	4.531	2.604	2.826	3.42	3.916	4.16	2.029	2.304	2.842	3.31	3.522	1.555	1.815	2.524	3.075	3.311	3.206	3.34	3.698	3.987	4.099	1.25	1.661	2.47	3.19	3.427	-0.24	0.233	1.257	2.13	2.413	4.205	4.315	4.589	4.852	4.979	3.942	4.074	4.438	4.775	4.918	2.195	2.425	3.004	3.507	3.746	2.464	2.668	3.104	3.569	3.734	1.164	1.387	1.902	2.353	2.562	1.954	2.176	2.675	3.122	3.329	1.636	1.929	2.49	2.987	3.143	0.07	0.577	1.475	2.242	2.506	1.483	1.745	2.413	3.013	3.244	3.165	3.331	3.75	4.092	4.246	5.286	5.389	5.647	5.894	5.985	4.666	4.794	5.091	5.375	5.495	1.951	2.168	2.553	2.93	3.084	1.012	1.558	2.504	3.314	3.62	1.429	1.719	2.506	3.193	3.472	1.878	2.083	2.624	3.048	3.204	2.162	2.452	2.95	3.426	3.61	1.102	1.397	2.069	2.652	2.863	4.77	4.882	5.162	5.434	5.559	2.203	2.387	2.917	3.399	3.546	1.796	2.136	2.831	3.472	3.679	3.531	3.667	4.002	4.342	4.454	3.512	3.717	4.137	4.522	4.678	2.598	2.892	3.459	4.005	4.191	1.586	1.962	2.746	3.43	3.746	2.095	2.29	2.765	3.191	3.364	2.209	2.49	3.005	3.511	3.706	2.789	2.964	3.442	3.852	3.992	2.936	3.186	3.696	4.159	4.378	1.374	1.712	2.412	3.085	3.339	0.724	0.96	1.672	2.234	2.454	3.759	3.897	4.228	4.579	4.705	-3.459	-2.602	-0.052	2.329	3.314	0.176	0.406	1.582	3.365	4.231	-6.12	-2.49	-0.032	2.19	5.309	0.485	FALSE	0.032	FALSE
4	-10.108	-5.636	-0.486	2.028	2.677	-9.639	-5.453	-0.028	2.262	2.817	-10.605	-5.752	-0.926	1.819	2.331	-6.697	-4.696	-1.804	-0.067	0.362	-4.186	-2.787	0.099	1.806	2.408	-2.753	-1.779	0.206	1.548	2.014	-6.018	-4.323	-1.576	0.168	0.607	-2.233	-1.477	0.255	1.466	1.951	-0.944	-0.487	0.474	1.311	1.611	-1.658	-0.747	0.779	1.981	2.349	-5.352	-3.947	-1.084	0.603	1.064	-1.694	-1.183	-0.051	0.882	1.192	0.793	1.163	1.936	2.666	2.905	-1.279	-0.656	0.634	1.704	1.99	-14.576	-9.62	-3.738	-0.75	0.246	-0.788	-0.375	0.425	1.089	1.376	-1.088	-0.599	0.425	1.296	1.613	-15.681	-11.069	-4.193	-0.99	-0.161	-16.18	-10.869	-3.917	-0.769	-0.108	-2.611	-1.546	0.078	1.26	1.707	-1.508	-1.009	0.313	1.382	1.811	1.543	1.855	2.494	3.088	3.299	-5.637	-3.912	-1.379	0.308	0.814	-3.726	-2.824	-1.203	-0.057	0.41	-12.881	-9.168	-2.779	0.293	1.142	-14.548	-10.846	-2.992	-0.02	0.792	-4.147	-3.044	-1.105	0.245	0.679	-3.518	-2.412	-0.681	0.663	1.185	-14.922	-11.282	-3.956	-0.945	-0.297	-14.42	-10.643	-3.571	-0.544	0.031	-6	-4.177	-1.413	0.331	0.859	-5.187	-3.654	-0.794	0.904	1.447	0.645	1.043	1.765	2.409	2.699	0.536	0.914	1.779	2.578	2.885	-5.003	-3.486	-0.65	1.073	1.613	-4.842	-3.302	-0.479	1.277	1.772	-4.107	-3.061	-1.157	0.202	0.685	-6.003	-4.198	-1.245	0.5	1.018	-5.57	-4.275	-1.484	0.253	0.85	-1.698	-0.755	0.735	1.851	2.192	-3.112	-2.257	-0.298	0.989	1.387	-6.332	-4.476	-1.975	-0.228	0.271	-1.18	-0.568	0.611	1.571	1.949	-10.578	-5.935	-0.719	4.977	9.181	0.339	0.776	3.093	9.293	13.802	-8.378	-3.231	-0.199	1.924	5.445	0.395	FALSE	0.199	FALSE
5	-13.808	-8.932	-2.359	0.628	1.719	-13.716	-8.925	-2.214	0.337	1.183	-13.901	-8.935	-2.493	1.044	1.899	-15.584	-11.134	-4.106	-0.999	-0.238	-4.004	-2.649	0.061	1.786	2.307	-14.334	-10.328	-2.94	0.019	1.12	-3.861	-2.602	-0.682	0.681	1.186	-13.858	-10.152	-3.36	-0.399	0.242	-16.373	-11.026	-4.628	-1.472	-0.509	-14.112	-9.845	-3.147	-0.02	0.696	-5.835	-3.864	-1.057	0.598	1.129	-3.425	-2.492	-0.799	0.377	0.766	-5.605	-4.032	-1.332	0.484	0.967	-16.377	-10.851	-3.619	-0.482	0.358	-6.437	-4.332	-1.547	0.326	0.873	-3.613	-2.858	-1.247	-0.125	0.316	-16.293	-10.92	-4.233	-1.152	-0.46	-15.855	-10.429	-4.167	-1.015	-0.251	-6.277	-4.147	-1.512	0.218	0.794	-14.394	-10.647	-3.789	-0.537	0.288	-16.928	-11.154	-4.004	-0.811	0.089	-15.235	-10.101	-3.714	-0.528	0.102	-5.765	-3.854	-1.255	0.515	1.027	-7.038	-5.239	-2.588	-0.903	-0.421	-14.654	-9.224	-2.812	0.407	1.153	-15.941	-10.469	-3.261	-0.193	0.742	-6.808	-4.743	-1.971	-0.186	0.404	-15.023	-10.386	-3.934	-0.855	-0.054	-15.107	-10.1	-3.853	-0.929	-0.201	-5.743	-4.115	-1.324	0.418	0.926	-15.842	-10.151	-3.863	-0.601	0.037	-14.779	-10.112	-3.023	0.011	0.8	0.354	0.734	1.524	2.21	2.446	-14.957	-9.782	-3.354	-0.304	0.765	-14.119	-9.857	-3.063	0.007	0.768	-13.99	-9.825	-2.869	0.172	0.82	-6.354	-4.942	-1.96	-0.202	0.282	-2.264	-1.401	0.173	1.25	1.683	-15.76	-11.091	-3.789	-0.858	-0.019	-16.05	-10.09	-3.036	-0.037	0.78	-16.806	-11.041	-3.67	-0.569	0.41	-4.05	-2.905	-1.087	0.281	0.759	-15.935	-10.444	-3.922	-0.859	0.02	-11.868	-7.023	-0.143	7.044	11.673	0.439	1.014	4.047	11.133	15.977	-6.5	-2.493	-0.031	2.356	6.051	0.483	FALSE	0.031	FALSE
6	-11.808	-7.186	-1.181	0.922	1.629	-10.791	-6.379	-0.751	1.016	1.641	-12.471	-7.87	-1.661	0.776	1.611	-1.352	-0.887	0.282	1.251	1.558	-13.443	-8.736	-2.348	0.767	1.532	-4.295	-3.16	-0.658	1.055	1.66	-5.641	-4.274	-1.548	0.22	0.652	-15.558	-10.786	-3.689	-0.503	0.419	-3.604	-2.338	-0.721	0.422	0.749	-1.708	-0.654	0.817	1.986	2.335	-5.811	-3.889	-1.128	0.654	1.132	-1.959	-1.215	-0.038	0.881	1.189	-14.323	-10.188	-3.608	-0.465	0.25	-2.013	-1.273	0.225	1.453	1.886	-2.415	-1.601	-0.092	1.097	1.52	-1.845	-1.348	-0.282	0.595	0.93	-2.976	-2.071	-0.541	0.639	1.034	-3.876	-2.703	-0.814	0.598	1.007	-14.491	-10.367	-3.826	-0.832	-0.12	-3.529	-2.32	-0.355	1.056	1.484	-14.752	-10.646	-3.849	-0.829	-0.273	-3.509	-2.356	-0.416	0.888	1.317	-5.445	-3.957	-1.289	0.356	0.988	-4.547	-3.548	-1.749	-0.338	0.065	-12.942	-9.787	-2.64	0.354	1.151	-15.563	-10.062	-3.076	0.045	0.846	-15.874	-11.619	-4.442	-1.341	-0.627	-5.861	-4.25	-1.452	0.277	0.773	-3.876	-2.728	-0.748	0.674	0.976	-3.702	-2.519	-0.437	0.941	1.505	-16.329	-10.833	-3.868	-0.849	0.162	-13.545	-9.971	-3.156	0.073	0.791	-6.047	-4.286	-1.586	0.079	0.635	-15.496	-10.393	-3.481	-0.322	0.385	-5.016	-3.511	-0.651	1.068	1.751	-1.393	-0.705	0.926	2.042	2.594	-6.376	-4.708	-2.173	-0.418	0.032	-3.518	-2.275	-0.36	1.002	1.332	-5.261	-4.139	-1.593	0.24	0.777	-14.933	-10.425	-3.326	0.056	0.817	-15.059	-10.634	-3.67	-0.452	0.315	-4.147	-2.967	-1.074	0.312	0.701	-3.572	-2.56	-0.633	0.703	1.123	-11.721	-7.048	-0.801	4.923	9.36	0.318	0.736	3.169	9.975	14.495	-9.401	-3.647	-0.21	2.097	6.306	0.375	FALSE	0.21	FALSE
7	-12.202	-7.689	-0.992	1.253	2.056	-12.676	-8.382	-1.32	1.129	1.917	-11.47	-6.76	-0.758	1.369	2.164	-2.122	-1.367	-0.012	1.027	1.387	-2.387	-0.898	1.025	2.319	2.779	-1.485	-0.776	0.735	1.939	2.43	-14.801	-10.522	-3.893	-0.797	0.192	-3.168	-2.306	-0.329	1.067	1.494	-2.627	-1.689	-0.351	0.682	1.073	-4.572	-2.981	-0.459	1.174	1.761	-13.699	-10.229	-3.559	-0.538	0.239	-2.203	-1.662	-0.361	0.653	1.103	-14.319	-10.673	-3.586	-0.534	0.345	-3.245	-2.319	-0.281	1.13	1.574	-3.387	-2.504	-0.57	0.77	1.25	-1.999	-1.404	-0.305	0.504	0.756	-6.532	-4.94	-1.941	-0.217	0.5	-16.927	-11.456	-4.189	-0.983	-0.084	-15.225	-10.635	-3.715	-0.787	0.187	-14.988	-10.066	-3.76	-0.537	0.173	-15.296	-11.174	-3.901	-0.762	0.14	-13.315	-10.316	-3.512	-0.64	0.032	-14.452	-10.937	-3.79	-0.705	0.108	-5.003	-3.648	-1.71	-0.345	0.27	-13.797	-9.167	-2.76	0.466	1.131	-14.804	-10.091	-3.149	0.064	0.765	-3.04	-2.178	-0.578	0.551	0.922	-15.147	-11.126	-3.885	-0.894	-0.13	-3.43	-2.53	-0.727	0.583	1.019	-3.801	-2.396	-0.469	0.957	1.588	-3.267	-2.437	-0.611	0.822	1.217	-14.449	-10.054	-3.026	0.031	0.928	-1.442	-0.763	0.416	1.381	1.779	-5.613	-3.95	-0.971	0.71	1.359	-15.793	-9.723	-3.166	0.211	0.953	-0.061	0.472	1.64	2.566	2.934	-3.855	-3.102	-1.091	0.178	0.607	-15.758	-10.999	-3.91	-0.629	0.37	-2.46	-1.704	-0.086	1.073	1.423	-3.193	-1.797	0.111	1.543	2.011	-3.456	-2.208	-0.222	1.077	1.51	-1.502	-0.923	0.216	1.151	1.415	-1.236	-0.64	0.622	1.583	1.889	-10.256	-5.609	0.561	7.714	12.116	0.371	0.851	3.635	10.694	15.182	-5.274	-1.96	0.132	3.541	9.179	0.42	FALSE	0.132	FALSE
8	1.213	2.019	3.202	4.799	5.254	1.789	2.2	3.15	4.536	4.851	0.927	1.779	3.304	4.995	5.361	2.533	2.703	3.144	3.529	3.727	3.523	3.774	4.32	4.851	5.037	4.02	4.198	4.606	4.987	5.155	2.303	2.559	3.056	3.515	3.756	2.412	2.626	3.202	3.678	3.855	2.631	2.805	3.177	3.549	3.725	2.715	2.969	3.542	4.053	4.28	1.945	2.271	2.858	3.362	3.597	2.899	3.039	3.395	3.75	3.841	3.626	3.825	4.202	4.558	4.718	1.663	2.049	2.707	3.243	3.453	1.898	2.175	2.747	3.28	3.49	2.422	2.545	2.899	3.254	3.44	2.635	2.804	3.216	3.615	3.794	1.482	1.732	2.312	2.884	3.093	1.975	2.228	2.765	3.275	3.504	1.38	1.596	2.312	2.923	3.121	3.699	3.842	4.183	4.546	4.672	2.581	2.784	3.302	3.747	3.938	2.234	2.508	3.033	3.499	3.693	1.914	2.122	2.513	2.882	3.085	2.768	3.057	3.714	4.247	4.457	4.006	4.16	4.57	4.941	5.093	1.512	1.749	2.294	2.769	2.965	3.142	3.354	3.764	4.144	4.295	-0.012	0.481	1.348	2.042	2.282	2.479	2.706	3.209	3.674	3.878	1.363	1.701	2.328	2.894	3.154	3.082	3.251	3.743	4.182	4.355	3.062	3.216	3.606	3.974	4.1	3.577	3.776	4.18	4.566	4.731	4.078	4.238	4.645	5.011	5.174	2.112	2.507	3.198	3.79	4.094	1.581	1.87	2.401	2.886	3.079	2.295	2.524	3.069	3.575	3.739	2.479	2.687	3.186	3.637	3.875	4.751	4.86	5.202	5.512	5.663	4.272	4.402	4.72	5.033	5.175	1.952	2.203	2.681	3.145	3.306	2.07	2.306	2.817	3.288	3.445	-2.768	-1.939	0.107	2.097	2.733	0.149	0.333	1.313	2.795	3.587	-5.186	-2.207	0.078	2.494	6.158	0.465	FALSE	0.078	FALSE
9	-15.454	-10.66	-3.797	-0.519	0.446	-15.427	-10.697	-3.846	-0.557	0.395	-15.463	-10.618	-3.754	-0.489	0.483	-14.952	-10.88	-4.247	-1.259	-0.426	-14.7	-9.144	-2.245	0.784	1.496	-14.563	-9.826	-2.981	-0.02	0.81	-14.668	-10.534	-3.864	-0.873	-0.165	-13.942	-9.789	-3.709	-0.41	0.27	-15.216	-10.925	-4.487	-1.49	-0.498	-15.985	-10.56	-3.083	-0.019	0.745	-14.897	-10.633	-3.606	-0.454	0.333	-16.519	-11.319	-4.44	-1.627	-0.631	-16.146	-10.443	-3.632	-0.448	0.299	-13.187	-9.761	-3.441	-0.533	0.19	-15.077	-10.715	-3.983	-0.858	0.021	-17.074	-12.75	-5.105	-1.936	-1.167	-16.567	-11.95	-4.416	-1.33	-0.319	-15.673	-11.425	-4.114	-1.146	-0.483	-16.963	-10.792	-3.961	-0.876	0.092	-14.465	-10.058	-3.542	-0.638	0.158	-15.954	-10.759	-3.802	-0.7	-0.187	-13.805	-9.965	-3.646	-0.573	0.294	-15.057	-10.375	-3.697	-0.718	0.046	-16.744	-11.923	-5.039	-2.137	-1.127	-14.485	-9.453	-2.802	0.507	1.23	-15.481	-10.052	-3.081	-0.061	0.808	-15.794	-12.26	-4.382	-1.249	-0.487	-15.673	-10.845	-3.981	-1.01	-0.153	-14.372	-10.969	-3.957	-0.8	0.18	-14.985	-9.931	-3.534	-0.534	0.263	-16.342	-10.816	-3.897	-0.926	0.026	-14.099	-9.939	-3.027	0.078	0.798	-16.859	-11.102	-3.993	-0.978	-0.261	-14.95	-10.912	-3.36	-0.396	0.473	-13.77	-10.222	-3.204	0.031	0.76	-14.912	-9.241	-3.092	0.072	1.024	-16.915	-11.346	-4.399	-1.384	-0.727	-16.184	-10.3	-3.849	-0.582	0.081	-16.697	-10.449	-3.89	-0.787	-0.052	-14.633	-10.188	-3.059	-0.11	0.66	-14.002	-9.897	-3.596	-0.51	0.122	-16.231	-10.928	-4.502	-1.223	-0.524	-15.77	-10.527	-3.88	-0.788	-0.118	-12.124	-7.372	0.09	7.479	12.225	0.463	1.069	4.251	11.495	16.608	-6.49	-2.488	0.018	2.527	6.447	0.49	FALSE	0.018	FALSE
