expression.among.q01	expression.among.q05	expression.among.q50	expression.among.q95	expression.among.q99	expression.within.P.q01	expression.within.P.q05	expression.within.P.q50	expression.within.P.q95	expression.within.P.q99	expression.within.R.q01	expression.within.R.q05	expression.within.R.q50	expression.within.R.q95	expression.within.R.q99	expression.sample.X12C_saliva.q01	expression.sample.X12C_saliva.q05	expression.sample.X12C_saliva.q50	expression.sample.X12C_saliva.q95	expression.sample.X12C_saliva.q99	expression.sample.X33C_saliva.q01	expression.sample.X33C_saliva.q05	expression.sample.X33C_saliva.q50	expression.sample.X33C_saliva.q95	expression.sample.X33C_saliva.q99	expression.sample.X01C_saliva.q01	expression.sample.X01C_saliva.q05	expression.sample.X01C_saliva.q50	expression.sample.X01C_saliva.q95	expression.sample.X01C_saliva.q99	expression.sample.X06C_saliva.q01	expression.sample.X06C_saliva.q05	expression.sample.X06C_saliva.q50	expression.sample.X06C_saliva.q95	expression.sample.X06C_saliva.q99	expression.sample.X11C_saliva.q01	expression.sample.X11C_saliva.q05	expression.sample.X11C_saliva.q50	expression.sample.X11C_saliva.q95	expression.sample.X11C_saliva.q99	expression.sample.X30C_saliva.q01	expression.sample.X30C_saliva.q05	expression.sample.X30C_saliva.q50	expression.sample.X30C_saliva.q95	expression.sample.X30C_saliva.q99	expression.sample.X27C_saliva.q01	expression.sample.X27C_saliva.q05	expression.sample.X27C_saliva.q50	expression.sample.X27C_saliva.q95	expression.sample.X27C_saliva.q99	expression.sample.X07C_saliva.q01	expression.sample.X07C_saliva.q05	expression.sample.X07C_saliva.q50	expression.sample.X07C_saliva.q95	expression.sample.X07C_saliva.q99	expression.sample.X02C_saliva.q01	expression.sample.X02C_saliva.q05	expression.sample.X02C_saliva.q50	expression.sample.X02C_saliva.q95	expression.sample.X02C_saliva.q99	expression.sample.X31C_saliva.q01	expression.sample.X31C_saliva.q05	expression.sample.X31C_saliva.q50	expression.sample.X31C_saliva.q95	expression.sample.X31C_saliva.q99	expression.sample.X35C_saliva.q01	expression.sample.X35C_saliva.q05	expression.sample.X35C_saliva.q50	expression.sample.X35C_saliva.q95	expression.sample.X35C_saliva.q99	expression.sample.X08C_saliva.q01	expression.sample.X08C_saliva.q05	expression.sample.X08C_saliva.q50	expression.sample.X08C_saliva.q95	expression.sample.X08C_saliva.q99	expression.sample.X03C_saliva.q01	expression.sample.X03C_saliva.q05	expression.sample.X03C_saliva.q50	expression.sample.X03C_saliva.q95	expression.sample.X03C_saliva.q99	expression.sample.X28C_saliva.q01	expression.sample.X28C_saliva.q05	expression.sample.X28C_saliva.q50	expression.sample.X28C_saliva.q95	expression.sample.X28C_saliva.q99	expression.sample.X29C_saliva.q01	expression.sample.X29C_saliva.q05	expression.sample.X29C_saliva.q50	expression.sample.X29C_saliva.q95	expression.sample.X29C_saliva.q99	expression.sample.X17C_saliva.q01	expression.sample.X17C_saliva.q05	expression.sample.X17C_saliva.q50	expression.sample.X17C_saliva.q95	expression.sample.X17C_saliva.q99	expression.sample.X10C_saliva.q01	expression.sample.X10C_saliva.q05	expression.sample.X10C_saliva.q50	expression.sample.X10C_saliva.q95	expression.sample.X10C_saliva.q99	expression.sample.X09C_saliva.q01	expression.sample.X09C_saliva.q05	expression.sample.X09C_saliva.q50	expression.sample.X09C_saliva.q95	expression.sample.X09C_saliva.q99	expression.sample.X23C_saliva.q01	expression.sample.X23C_saliva.q05	expression.sample.X23C_saliva.q50	expression.sample.X23C_saliva.q95	expression.sample.X23C_saliva.q99	expression.sample.X32C_saliva.q01	expression.sample.X32C_saliva.q05	expression.sample.X32C_saliva.q50	expression.sample.X32C_saliva.q95	expression.sample.X32C_saliva.q99	expression.sample.X05C_saliva.q01	expression.sample.X05C_saliva.q05	expression.sample.X05C_saliva.q50	expression.sample.X05C_saliva.q95	expression.sample.X05C_saliva.q99	expression.sample.X37C_saliva.q01	expression.sample.X37C_saliva.q05	expression.sample.X37C_saliva.q50	expression.sample.X37C_saliva.q95	expression.sample.X37C_saliva.q99	expression.sample.X36C_saliva.q01	expression.sample.X36C_saliva.q05	expression.sample.X36C_saliva.q50	expression.sample.X36C_saliva.q95	expression.sample.X36C_saliva.q99	expression.sample.X04C_saliva.q01	expression.sample.X04C_saliva.q05	expression.sample.X04C_saliva.q50	expression.sample.X04C_saliva.q95	expression.sample.X04C_saliva.q99	expression.sample.X16C_saliva.q01	expression.sample.X16C_saliva.q05	expression.sample.X16C_saliva.q50	expression.sample.X16C_saliva.q95	expression.sample.X16C_saliva.q99	expression.sample.X14C_saliva.q01	expression.sample.X14C_saliva.q05	expression.sample.X14C_saliva.q50	expression.sample.X14C_saliva.q95	expression.sample.X14C_saliva.q99	expression.sample.X20C_saliva.q01	expression.sample.X20C_saliva.q05	expression.sample.X20C_saliva.q50	expression.sample.X20C_saliva.q95	expression.sample.X20C_saliva.q99	expression.sample.X25C_saliva.q01	expression.sample.X25C_saliva.q05	expression.sample.X25C_saliva.q50	expression.sample.X25C_saliva.q95	expression.sample.X25C_saliva.q99	expression.sample.X40C_saliva.q01	expression.sample.X40C_saliva.q05	expression.sample.X40C_saliva.q50	expression.sample.X40C_saliva.q95	expression.sample.X40C_saliva.q99	expression.sample.X38C_saliva.q01	expression.sample.X38C_saliva.q05	expression.sample.X38C_saliva.q50	expression.sample.X38C_saliva.q95	expression.sample.X38C_saliva.q99	expression.sample.X21C_saliva.q01	expression.sample.X21C_saliva.q05	expression.sample.X21C_saliva.q50	expression.sample.X21C_saliva.q95	expression.sample.X21C_saliva.q99	expression.sample.X26C_saliva.q01	expression.sample.X26C_saliva.q05	expression.sample.X26C_saliva.q50	expression.sample.X26C_saliva.q95	expression.sample.X26C_saliva.q99	expression.sample.X39C_saliva.q01	expression.sample.X39C_saliva.q05	expression.sample.X39C_saliva.q50	expression.sample.X39C_saliva.q95	expression.sample.X39C_saliva.q99	expression.sample.X42C_saliva.q01	expression.sample.X42C_saliva.q05	expression.sample.X42C_saliva.q50	expression.sample.X42C_saliva.q95	expression.sample.X42C_saliva.q99	expression.sample.X19C_saliva.q01	expression.sample.X19C_saliva.q05	expression.sample.X19C_saliva.q50	expression.sample.X19C_saliva.q95	expression.sample.X19C_saliva.q99	expression.sample.X43C_saliva.q01	expression.sample.X43C_saliva.q05	expression.sample.X43C_saliva.q50	expression.sample.X43C_saliva.q95	expression.sample.X43C_saliva.q99	expression.sample.X24C_saliva.q01	expression.sample.X24C_saliva.q05	expression.sample.X24C_saliva.q50	expression.sample.X24C_saliva.q95	expression.sample.X24C_saliva.q99	expression.sample.X44C_saliva.q01	expression.sample.X44C_saliva.q05	expression.sample.X44C_saliva.q50	expression.sample.X44C_saliva.q95	expression.sample.X44C_saliva.q99	expression.sample.X41C_saliva.q01	expression.sample.X41C_saliva.q05	expression.sample.X41C_saliva.q50	expression.sample.X41C_saliva.q95	expression.sample.X41C_saliva.q99	expression.sample.X34C_saliva.q01	expression.sample.X34C_saliva.q05	expression.sample.X34C_saliva.q50	expression.sample.X34C_saliva.q95	expression.sample.X34C_saliva.q99	difference.between.q01	difference.between.q05	difference.between.q50	difference.between.q95	difference.between.q99	difference.within.q01	difference.within.q05	difference.within.q50	difference.within.q95	difference.within.q99	effect.q01	effect.q05	effect.q50	effect.q95	effect.q99	criteria.significance	criteria.significant	criteria.meaning	criteria.meaningful
103	-8.308	-3.441	2.231	8.557	10.442	-7.919	-3.047	1.767	8.557	9.396	-8.58	-3.798	2.461	9.339	10.508	2.727	3.131	4.146	4.958	5.291	-0.851	-0.249	0.89	1.833	2.234	-3.589	-1.824	0.716	2.569	3.054	8.987	9.066	9.288	9.508	9.603	2.281	2.792	3.888	4.784	5.139	5.923	6.005	6.202	6.407	6.479	3.869	4.03	4.412	4.74	4.867	2.751	2.93	3.51	3.981	4.171	-13.119	-8.664	-1.228	1.865	2.794	-1.463	-0.809	0.768	1.918	2.353	0.539	0.98	1.913	2.764	3.123	-0.766	-0.127	1.253	2.329	2.677	-13.786	-9.34	-1.722	1.382	2.186	-3.297	-2.225	-0.275	1.079	1.515	-5.269	-3.711	-0.72	0.975	1.535	-12.887	-8.653	-1.13	2.022	2.832	7.044	7.225	7.534	7.842	7.96	2.727	2.995	3.701	4.382	4.627	-0.302	0.53	1.981	3.133	3.506	-2.542	-1.402	0.355	1.72	2.162	0.963	1.483	2.439	3.274	3.621	1.272	1.567	2.39	3.025	3.233	10.179	10.24	10.411	10.607	10.691	1.321	1.726	2.505	3.2	3.389	6.804	6.916	7.243	7.563	7.716	0.573	1.342	2.814	3.989	4.4	0.043	0.811	2.422	3.642	3.889	-1.677	-0.734	0.819	2.019	2.419	4.741	4.888	5.191	5.489	5.613	3.169	3.421	4.021	4.557	4.815	-12.598	-8.54	-1.604	1.563	2.377	0.375	1.051	2.211	3.188	3.572	1.833	2.272	3.006	3.669	3.979	1.801	2.328	3.51	4.412	4.795	-13.253	-7.923	-0.839	1.982	2.769	3.32	3.622	4.269	4.817	5.027	-14.234	-9.072	-2.616	0.642	1.374	-1.502	-0.276	1.541	2.94	3.326	-13.933	-8.401	-1.178	1.917	2.711	-3.323	-2.058	-0.097	1.267	1.728	-12.615	-7.906	0.299	8.321	12.387	0.555	1.286	5.02	11.893	16.694	-6.141	-2.508	0.053	2.284	5.443	0.473	FALSE	0.053	FALSE
104	4.683	5.371	7.411	10.22	10.411	4.832	5.826	8.121	10.229	10.349	4.584	5.168	7.098	10.147	10.46	4.004	4.485	5.204	5.824	6.115	9.891	9.983	10.161	10.331	10.402	6.646	6.793	7.105	7.435	7.545	9.409	9.48	9.702	9.913	10.018	5.678	5.861	6.337	6.776	6.899	9.853	9.913	10.065	10.23	10.296	8.706	8.776	8.941	9.115	9.196	9.348	9.401	9.587	9.781	9.871	6.606	6.733	7.069	7.417	7.532	9.947	10.027	10.204	10.405	10.49	8.598	8.666	8.841	9.03	9.106	9.904	9.984	10.168	10.353	10.451	6.433	6.567	6.899	7.218	7.364	8.344	8.419	8.579	8.754	8.829	7.976	8.051	8.239	8.429	8.542	5.801	5.999	6.43	6.821	6.987	7.534	7.663	7.931	8.225	8.359	6.788	6.905	7.183	7.469	7.58	6.499	6.629	6.923	7.231	7.38	7.084	7.16	7.381	7.618	7.739	9.194	9.269	9.472	9.665	9.772	9.404	9.469	9.649	9.848	9.936	9.677	9.756	9.922	10.122	10.207	10.111	10.182	10.364	10.558	10.622	6.594	6.743	7.075	7.419	7.554	6.669	6.827	7.195	7.56	7.7	4.02	4.302	4.922	5.517	5.771	9.156	9.224	9.409	9.604	9.686	6.247	6.357	6.587	6.823	6.928	5.518	5.666	5.986	6.318	6.442	6.172	6.33	6.679	7.043	7.197	6.284	6.399	6.705	6.997	7.138	8.223	8.291	8.494	8.709	8.807	4.576	4.829	5.41	5.961	6.146	5.525	5.751	6.237	6.703	6.887	6.841	6.939	7.234	7.504	7.634	9.349	9.454	9.635	9.843	9.921	6.291	6.414	6.765	7.086	7.179	5.981	6.161	6.555	6.97	7.133	9.505	9.567	9.753	9.936	10.02	-5.059	-3.915	-0.422	3.227	4.457	0.247	0.596	2.783	4.687	5.367	-6.616	-2.194	-0.159	1.743	6.087	0.401	FALSE	0.159	FALSE
105	-2.872	0.071	3.649	7.656	8.055	-2.068	0.325	4.076	7.353	8.018	-4.146	-0.099	3.027	7.685	8.09	-2.963	-0.989	1.751	3.526	4.019	7.629	7.729	7.913	8.105	8.183	2.15	2.645	3.502	4.284	4.572	5.205	5.356	5.7	6.057	6.248	1.826	2.387	3.616	4.529	4.803	3.892	4.001	4.285	4.569	4.641	3.065	3.24	3.662	4.081	4.275	6.195	6.297	6.55	6.811	6.883	2.421	2.734	3.731	4.56	4.912	4.795	4.916	5.245	5.564	5.672	3.694	3.898	4.308	4.723	4.859	5.216	5.351	5.665	5.977	6.066	0.528	1.187	2.5	3.531	3.906	2.376	2.571	3.104	3.603	3.807	-4.621	-3.349	-0.781	0.922	1.467	3.809	4.182	4.905	5.478	5.699	1.664	2.282	3.38	4.267	4.579	3.547	3.743	4.354	4.921	5.078	1.144	1.857	2.987	3.921	4.173	3.653	3.826	4.301	4.718	4.893	4.114	4.287	4.747	5.164	5.307	7.047	7.145	7.345	7.568	7.678	6.011	6.081	6.32	6.557	6.676	-0.377	0.149	1.363	2.304	2.669	-3.173	-1.681	0.93	2.687	3.37	2.322	2.786	3.823	4.679	5.03	-0.937	0.059	1.888	3.269	3.675	-0.774	-0.043	1.241	2.289	2.618	3.74	3.915	4.3	4.677	4.836	0.715	1.224	2.408	3.276	3.61	-0.176	0.79	2.233	3.374	3.812	1.685	1.949	2.905	3.711	4.005	0.693	1.175	2.235	3.026	3.331	-14.052	-9.206	-0.988	2.047	2.875	1.091	1.946	3.21	4.254	4.666	1.772	2.125	3.141	3.953	4.289	5.062	5.269	5.661	5.979	6.117	0.85	1.603	2.795	3.734	4.044	1.743	2.261	3.448	4.328	4.684	7.699	7.785	7.978	8.183	8.252	-8.825	-5.46	-0.9	4.407	6.912	0.371	0.8	3.099	7.398	11.119	-5.658	-2.515	-0.26	2.094	5.573	0.372	FALSE	0.26	FALSE
106	-8.689	-4.129	1.622	4.78	8.663	-9.83	-5.029	1.667	4.78	5.424	-7.159	-3.077	1.59	7.063	8.738	-0.605	0.39	2.606	3.918	4.291	1.752	2.026	2.648	3.185	3.411	3.404	3.689	4.391	5.012	5.218	-0.962	-0.037	1.507	2.632	3.158	-11.758	-7.806	-0.868	2.316	2.912	0.653	0.983	1.625	2.204	2.496	-14.347	-10.31	-3.808	-0.785	0.022	-15.677	-10.33	-3.037	-0.001	0.959	4.354	4.547	5.149	5.689	5.906	-1.936	-0.936	0.708	1.896	2.326	1.325	1.745	2.537	3.227	3.464	-2.681	-1.716	0.352	1.716	2.107	1.803	2.178	3.239	4.075	4.419	0.509	0.859	1.794	2.487	2.762	1.729	2.052	2.801	3.395	3.626	-13.256	-7.648	-1.277	2.026	2.892	-12.39	-7.685	-1.16	1.978	2.731	0.382	1.172	2.422	3.383	3.744	-1.204	-0.34	1.496	2.817	3.325	-2.825	-1.537	0.303	1.741	2.165	1.766	2.074	2.977	3.647	3.908	-1.824	-0.957	0.542	1.678	2.037	-5.579	-4.258	-1.326	0.319	0.848	8.353	8.435	8.633	8.844	8.924	-12.056	-8.069	-1.455	1.596	2.421	-13.158	-7.763	-0.806	1.999	2.748	-0.099	0.736	2.414	3.622	4.138	1.971	2.282	3.051	3.649	3.917	0.578	0.938	1.876	2.644	2.905	-0.298	0.42	1.835	2.88	3.247	-1.445	-0.281	1.679	2.958	3.368	-0.794	-0.035	1.551	2.776	3.122	1.871	2.269	2.995	3.66	3.929	-3.02	-1.538	1.358	3.145	3.67	-0.94	0.409	2.324	3.617	4.113	-4.144	-2.431	0.435	2.077	2.52	0.223	0.776	2.021	2.994	3.316	-4.521	-2.165	0.648	2.404	2.966	-13.505	-8.024	-1.27	1.92	2.707	-0.578	-0.041	1.183	2.092	2.522	-9.29	-5.377	-0.019	7.709	12.491	0.383	0.871	3.688	10.543	15.116	-5.518	-2.167	-0.004	3.447	8.858	0.497	FALSE	0.004	FALSE
107	-4.299	-0.087	3.051	7.888	9.127	-4.465	-0.065	3.442	8.512	9.199	-3.947	-0.093	2.732	7.88	8.043	1.447	2.181	3.553	4.633	4.988	7.079	7.161	7.349	7.556	7.634	1.027	1.606	2.796	3.745	4.089	4.714	4.926	5.344	5.733	5.911	-2.666	-0.931	1.443	3.221	3.709	7.474	7.54	7.717	7.894	7.959	1.975	2.199	2.808	3.308	3.507	8.856	8.912	9.102	9.296	9.391	2.995	3.459	4.252	4.934	5.186	1.551	1.919	2.699	3.369	3.601	4.102	4.263	4.643	5.009	5.205	1.946	2.317	3.008	3.664	3.827	-11.258	-8.229	-1.673	1.359	2.023	1.627	2.047	2.701	3.26	3.458	0.706	1.13	2.022	2.774	3.055	4.557	4.777	5.364	5.872	6.117	2.193	2.612	3.618	4.473	4.761	3.051	3.361	4.043	4.613	4.858	-1.76	-0.357	1.45	2.84	3.307	2.676	2.874	3.505	4.041	4.269	5.438	5.646	5.968	6.284	6.431	1.277	1.571	2.377	3.026	3.418	7.626	7.698	7.88	8.093	8.177	3.926	4.091	4.489	4.873	5.035	-1.129	-0.128	1.801	3.15	3.638	6.04	6.26	6.702	7.085	7.269	-3.877	-1.584	1.029	2.818	3.366	1.792	2.07	2.801	3.444	3.714	1.769	2.059	2.782	3.379	3.639	-0.101	0.52	1.78	2.823	3.162	-0.186	0.559	2.184	3.388	3.733	1.186	1.764	2.74	3.554	3.821	-0.077	0.526	1.75	2.658	3.028	-13.566	-7.856	-0.988	2.135	2.867	-0.839	0.383	2.299	3.672	4.141	1.298	1.91	2.966	3.776	4.045	6.146	6.25	6.543	6.829	6.941	0.408	1.153	2.478	3.459	3.752	-0.729	0.222	2.212	3.52	4.123	7.59	7.676	7.881	8.077	8.19	-9.037	-6.401	-0.612	5.385	8.901	0.397	0.932	4.023	8.504	12.899	-6.558	-2.543	-0.139	2.35	5.911	0.416	FALSE	0.139	FALSE
108	-12.552	-8.08	-1.354	1.698	2.631	-12.257	-7.867	-1.213	1.938	2.792	-12.852	-8.261	-1.486	1.374	2.33	-10.975	-7.073	-0.699	2.518	3.374	-14.418	-9.52	-3.624	-0.468	0.223	-1.687	-0.463	1.583	2.881	3.315	-13.895	-8.96	-2.261	0.863	1.601	-11.691	-7.214	-0.967	2.131	2.937	-4.204	-3.172	-1.254	0.112	0.61	-5.619	-4.067	-1.321	0.333	0.912	-15.17	-10.098	-3.162	-0.162	0.631	-13.737	-7.709	-1.214	1.88	2.603	-1.799	-0.847	0.803	1.878	2.296	-14.637	-9.854	-3.203	-0.146	0.645	-13.657	-9.739	-3.058	0.101	0.81	-14.016	-8.434	-1.677	1.373	2.122	-2.076	-1.281	0.339	1.478	1.805	-15.605	-10.21	-3.217	0.036	0.856	-3.123	-1.451	1.209	2.915	3.482	-13.382	-8.17	-1.379	1.654	2.488	-3.783	-2.338	0.406	2.04	2.542	-11.877	-7.982	-1.705	1.238	2.124	-12.671	-9.546	-2.92	0.258	0.807	-4.053	-2.909	-0.114	1.577	2.067	-3.116	-1.906	-0.017	1.339	1.869	-3.352	-2.392	-0.525	0.883	1.265	-15.395	-10.31	-3.142	0.036	0.692	-12.385	-7.547	-1.465	1.541	2.565	-11.225	-7.762	-0.85	2.333	3.176	-12.243	-7.821	-1.443	1.675	2.645	-15.623	-10.283	-2.898	0.308	0.801	-14.025	-9.619	-3.144	-0.268	0.696	-13.901	-9.114	-2.319	0.723	1.429	-13.413	-8.565	-1.634	1.553	2.423	-14.343	-9.437	-2.175	0.861	1.458	-5.002	-3.182	-0.278	1.435	1.931	-12.638	-7.981	-1.134	1.981	2.869	-11.35	-7.43	-1.096	2.157	3.031	-13.33	-8.939	-2.043	1.119	1.873	-12.379	-8.724	-2.366	0.649	1.463	-15.752	-9.307	-1.658	1.402	2.161	-11.408	-7.839	-1.177	2.003	2.638	-13.517	-9.933	-3.352	-0.182	0.684	-12.254	-7.622	-0.371	6.758	11.289	0.455	1.035	4.15	11.104	15.749	-6.92	-2.753	-0.079	2.214	5.865	0.459	FALSE	0.079	FALSE
109	-6.747	-2.505	1.574	3.775	4.243	-6.078	-1.717	2.089	3.98	4.413	-7.169	-3.035	0.953	3.229	3.821	-13.064	-7.866	-0.654	2.356	3.113	0.786	1.103	1.909	2.602	2.804	0.464	1.215	2.52	3.504	3.854	-0.876	-0.143	1.49	2.582	2.969	-2.774	-1.04	1.484	3.202	3.788	1.889	2.105	2.589	3.038	3.183	1.079	1.483	2.174	2.801	3.077	-0.294	0.188	1.362	2.35	2.762	2.641	3.027	3.952	4.695	4.992	0.749	1.197	2.1	2.913	3.192	0.627	1.041	1.959	2.702	3.025	1.989	2.196	2.907	3.488	3.736	2.368	2.709	3.594	4.285	4.576	3.169	3.392	3.821	4.19	4.317	-0.038	0.509	1.602	2.57	2.807	-2.865	-1.349	1.21	3.034	3.55	-11.58	-8.341	-1.531	1.704	2.548	-3.75	-2.326	0.328	2.051	2.536	1.75	2.236	3.232	4.059	4.36	0.178	0.742	1.859	2.767	3.024	-2.379	-1.309	0.669	2.101	2.554	-0.926	-0.342	0.946	2.042	2.406	-2.444	-1.561	-0.04	1.103	1.477	-2.483	-1.696	0.129	1.518	1.892	-12.211	-8.035	-1.386	1.589	2.217	-2.944	-1.351	1.363	3.112	3.665	-3.287	-1.569	0.911	2.693	3.291	-0.76	-0.153	1.24	2.312	2.669	-5.305	-3.593	-0.943	0.84	1.367	2.452	2.766	3.469	4.076	4.321	-1.348	-0.369	1.764	3.032	3.484	0.757	1.387	2.457	3.418	3.798	-1.331	-0.625	1.038	2.2	2.595	-3.391	-1.547	1.396	3.122	3.561	-12.623	-7.616	-1.094	2.117	2.876	0.015	0.909	2.169	3.224	3.561	-1.283	-0.366	1.348	2.528	2.838	-3.629	-2.151	0.568	2.388	2.915	-14.083	-7.83	-1.009	2.068	2.721	-0.548	0.091	1.203	2.148	2.514	-9.462	-5.412	-1.139	3.043	7.204	0.27	0.613	2.368	7.764	12.24	-9.42	-3.854	-0.399	1.37	4.065	0.289	FALSE	0.399	FALSE
110	-13.241	-8.443	-1.585	1.619	2.418	-13.363	-8.651	-1.829	1.489	2.38	-13.085	-8.192	-1.33	1.703	2.465	-11.917	-7.13	-0.65	2.367	3.124	-5.936	-3.925	-1.108	0.525	0.987	-13.899	-8.941	-1.761	1.351	2.107	-14.897	-9.076	-2.342	0.666	1.401	-11.755	-7.799	-0.969	2.241	2.967	-15.436	-10.924	-4.518	-1.402	-0.725	-14.178	-10.194	-3.595	-0.628	0.181	-14.356	-10.1	-3.095	0.09	0.842	-12.4	-7.916	-1.272	1.827	2.488	-14.432	-9.463	-2.984	0.003	0.745	-14.674	-10.244	-3.146	-0.185	0.576	-14.118	-10.092	-3.192	0.111	0.855	-14.118	-8.737	-1.89	1.201	1.789	-2.1	-1.337	0.268	1.346	1.829	-14.449	-9.456	-2.978	-0.132	0.681	-13.142	-8.514	-1.281	1.835	2.509	-14.126	-8.194	-1.346	1.796	2.814	-4.719	-2.395	0.396	2.147	2.581	-4.404	-2.324	0.555	2.233	2.824	-13.348	-9.244	-3.025	0.115	0.778	-13.345	-9.11	-2.424	0.688	1.457	-15.682	-10.119	-3.117	-0.063	0.827	-16.29	-10.818	-3.703	-0.75	0.047	-0.854	-0.23	1.08	2.079	2.541	-13.333	-7.878	-1.216	1.752	2.534	-13.941	-7.791	-1.006	2.068	3.015	-12.204	-8.484	-1.4	1.749	2.613	-5.069	-3.455	-0.55	1.182	1.827	-15.802	-10.408	-3.044	-0.11	0.593	-2.333	-1.075	0.871	2.216	2.605	-12.805	-7.971	-1.663	1.483	2.362	-13.505	-8.722	-2.257	0.767	1.574	-4.637	-3.391	-0.366	1.322	1.776	-13.124	-7.817	-1.091	2.088	2.866	-12.845	-7.951	-1.113	2.027	2.843	-3.845	-2.499	0.293	2.021	2.555	-13.28	-9.291	-2.504	0.651	1.59	-14.04	-8.566	-1.586	1.249	2.255	-12.033	-8.011	-0.986	2.026	2.906	-15.643	-10.352	-3.422	-0.228	0.793	-11.701	-7.027	0.446	7.854	12.436	0.488	1.099	4.358	11.432	16.258	-5.755	-2.247	0.091	2.706	6.758	0.452	FALSE	0.091	FALSE
111	-13.031	-8.325	-1.359	1.733	2.588	-13.056	-8.323	-1.38	1.731	2.639	-12.996	-8.329	-1.34	1.734	2.527	-11.654	-7.099	-0.535	2.491	3.171	-5.736	-3.984	-1.269	0.514	1.1	-1.517	-0.572	1.568	2.971	3.436	-14.367	-9.44	-2.32	0.719	1.391	-13.843	-8.156	-0.912	1.931	2.722	-15.139	-10.815	-4.471	-1.52	-0.657	-0.884	-0.322	0.833	1.735	2.036	-5.818	-3.628	-0.703	0.953	1.594	-14.197	-8.885	-1.39	1.99	2.753	-5.075	-3.524	-0.718	1.138	1.564	-14.114	-10.676	-3.159	-0.136	0.704	-15.081	-9.802	-2.799	0.119	0.821	-13.853	-9.353	-1.81	1.44	2.205	-13.629	-9.39	-3.568	-0.472	0.492	-14.542	-10.088	-3.085	0.053	0.777	-14.799	-7.886	-1.148	1.82	2.615	-12.132	-8.362	-1.335	1.567	2.316	-13.637	-9.049	-2.016	0.962	1.829	-15.147	-8.782	-1.856	1.281	2.127	-2.6	-1.645	0.425	1.742	2.255	-12.81	-9.25	-2.535	0.697	1.621	-13.257	-9.78	-3.092	-0.111	0.606	-16.059	-11.027	-3.872	-0.659	0.02	-14.05	-10.011	-3.035	-0.052	0.873	-15.315	-8.792	-1.558	1.669	2.468	-12.431	-7.711	-0.873	2.148	3.09	-15.557	-8.651	-1.491	1.586	2.544	-1.18	-0.478	0.923	2.046	2.394	-15.489	-10.186	-3.404	-0.214	0.416	-14.361	-9.327	-2.113	0.764	1.407	-13.63	-8.611	-1.559	1.431	2.303	-2.342	-1.005	0.97	2.31	2.753	-4.657	-3.045	-0.333	1.352	1.94	-12.095	-7.624	-0.882	2.126	3.059	-12.808	-8.255	-1.033	2.092	2.822	-13.528	-9.475	-2.048	1.069	1.877	-13.094	-8.764	-2.303	0.828	1.36	-3.328	-1.803	0.75	2.496	3.055	-12.07	-8.225	-1.053	2.03	2.937	-5.369	-3.74	-0.979	0.785	1.398	-12.113	-7.423	0.04	7.472	12.072	0.483	1.073	4.283	11.483	16.083	-6.465	-2.537	0.008	2.5	6.273	0.496	FALSE	0.008	FALSE
112	-11.915	-7.142	-0.937	1.818	2.686	-12.004	-7.274	-0.891	1.964	2.807	-11.813	-7.007	-0.983	1.635	2.522	-13.866	-7.423	-0.695	2.277	3.118	-3.152	-2.086	-0.351	1.027	1.424	-1.432	-0.385	1.598	2.958	3.369	-13.641	-9.446	-2.273	0.76	1.594	-12.79	-8.037	-0.825	2.092	2.968	-6.82	-4.997	-2.137	-0.446	0.242	-3.616	-2.4	-0.42	0.92	1.254	-2.479	-1.78	0.103	1.433	1.93	-11.435	-7.561	-1.212	1.957	2.82	-14.145	-9.721	-2.978	0.09	0.816	-15.768	-10.081	-3.195	-0.005	0.767	-14.889	-9.907	-3.005	0.014	0.908	-3.723	-2.022	0.592	2.364	2.965	-0.982	-0.198	0.963	1.89	2.25	-5.383	-3.619	-0.917	0.944	1.466	-2.828	-1.467	1.141	2.952	3.498	-13.295	-7.943	-1.351	1.814	2.482	-12.693	-8.945	-1.941	1.249	2.06	-13.113	-8.512	-1.765	1.255	1.858	-15.435	-11.194	-2.947	0.166	0.934	-4.293	-2.975	-0.128	1.626	2.243	-5.177	-3.695	-0.836	0.911	1.594	-15.14	-10.787	-3.785	-0.726	0.039	-5.049	-3.557	-0.753	0.915	1.609	-11.218	-8.349	-1.408	1.594	2.28	-12.501	-7.725	-0.901	2.224	3.134	-12.668	-7.991	-1.438	1.66	2.433	-5.187	-3.452	-0.539	1.115	1.651	-4.713	-3.492	-0.86	0.92	1.387	-5.006	-2.961	-0.016	1.751	2.241	-3.598	-1.997	0.829	2.59	3.192	-12.536	-8.011	-2.097	1.027	1.768	-14.097	-9.786	-2.676	0.247	1.18	-12.234	-7.398	-0.937	2.055	2.961	-12.8	-7.677	-1.182	1.981	2.813	-3.627	-2.361	0.352	2.16	2.787	-13.697	-9.297	-2.493	0.528	1.314	-14	-8.654	-1.78	1.301	2.184	-14.074	-8.828	-1.437	1.93	2.927	-5.303	-3.67	-0.901	0.793	1.41	-11.132	-6.579	-0.147	6.586	11.362	0.406	0.924	3.711	10.598	15.14	-6.534	-2.55	-0.034	2.489	6.415	0.482	FALSE	0.034	FALSE
