expression.among.q01	expression.among.q05	expression.among.q50	expression.among.q95	expression.among.q99	expression.within.P.q01	expression.within.P.q05	expression.within.P.q50	expression.within.P.q95	expression.within.P.q99	expression.within.R.q01	expression.within.R.q05	expression.within.R.q50	expression.within.R.q95	expression.within.R.q99	expression.sample.X12A_saliva.q01	expression.sample.X12A_saliva.q05	expression.sample.X12A_saliva.q50	expression.sample.X12A_saliva.q95	expression.sample.X12A_saliva.q99	expression.sample.X33A_saliva.q01	expression.sample.X33A_saliva.q05	expression.sample.X33A_saliva.q50	expression.sample.X33A_saliva.q95	expression.sample.X33A_saliva.q99	expression.sample.X01A_saliva.q01	expression.sample.X01A_saliva.q05	expression.sample.X01A_saliva.q50	expression.sample.X01A_saliva.q95	expression.sample.X01A_saliva.q99	expression.sample.X06A_saliva.q01	expression.sample.X06A_saliva.q05	expression.sample.X06A_saliva.q50	expression.sample.X06A_saliva.q95	expression.sample.X06A_saliva.q99	expression.sample.X11A_saliva.q01	expression.sample.X11A_saliva.q05	expression.sample.X11A_saliva.q50	expression.sample.X11A_saliva.q95	expression.sample.X11A_saliva.q99	expression.sample.X30A_saliva.q01	expression.sample.X30A_saliva.q05	expression.sample.X30A_saliva.q50	expression.sample.X30A_saliva.q95	expression.sample.X30A_saliva.q99	expression.sample.X27A_saliva.q01	expression.sample.X27A_saliva.q05	expression.sample.X27A_saliva.q50	expression.sample.X27A_saliva.q95	expression.sample.X27A_saliva.q99	expression.sample.X07A_saliva.q01	expression.sample.X07A_saliva.q05	expression.sample.X07A_saliva.q50	expression.sample.X07A_saliva.q95	expression.sample.X07A_saliva.q99	expression.sample.X02A_saliva.q01	expression.sample.X02A_saliva.q05	expression.sample.X02A_saliva.q50	expression.sample.X02A_saliva.q95	expression.sample.X02A_saliva.q99	expression.sample.X31A_saliva.q01	expression.sample.X31A_saliva.q05	expression.sample.X31A_saliva.q50	expression.sample.X31A_saliva.q95	expression.sample.X31A_saliva.q99	expression.sample.X35A_saliva.q01	expression.sample.X35A_saliva.q05	expression.sample.X35A_saliva.q50	expression.sample.X35A_saliva.q95	expression.sample.X35A_saliva.q99	expression.sample.X08A_saliva.q01	expression.sample.X08A_saliva.q05	expression.sample.X08A_saliva.q50	expression.sample.X08A_saliva.q95	expression.sample.X08A_saliva.q99	expression.sample.X03A_saliva.q01	expression.sample.X03A_saliva.q05	expression.sample.X03A_saliva.q50	expression.sample.X03A_saliva.q95	expression.sample.X03A_saliva.q99	expression.sample.X28A_saliva.q01	expression.sample.X28A_saliva.q05	expression.sample.X28A_saliva.q50	expression.sample.X28A_saliva.q95	expression.sample.X28A_saliva.q99	expression.sample.X29A_saliva.q01	expression.sample.X29A_saliva.q05	expression.sample.X29A_saliva.q50	expression.sample.X29A_saliva.q95	expression.sample.X29A_saliva.q99	expression.sample.X17A_saliva.q01	expression.sample.X17A_saliva.q05	expression.sample.X17A_saliva.q50	expression.sample.X17A_saliva.q95	expression.sample.X17A_saliva.q99	expression.sample.X10A_saliva.q01	expression.sample.X10A_saliva.q05	expression.sample.X10A_saliva.q50	expression.sample.X10A_saliva.q95	expression.sample.X10A_saliva.q99	expression.sample.X09A_saliva.q01	expression.sample.X09A_saliva.q05	expression.sample.X09A_saliva.q50	expression.sample.X09A_saliva.q95	expression.sample.X09A_saliva.q99	expression.sample.X23A_saliva.q01	expression.sample.X23A_saliva.q05	expression.sample.X23A_saliva.q50	expression.sample.X23A_saliva.q95	expression.sample.X23A_saliva.q99	expression.sample.X32A_saliva.q01	expression.sample.X32A_saliva.q05	expression.sample.X32A_saliva.q50	expression.sample.X32A_saliva.q95	expression.sample.X32A_saliva.q99	expression.sample.X05A_saliva.q01	expression.sample.X05A_saliva.q05	expression.sample.X05A_saliva.q50	expression.sample.X05A_saliva.q95	expression.sample.X05A_saliva.q99	expression.sample.X37A_saliva.q01	expression.sample.X37A_saliva.q05	expression.sample.X37A_saliva.q50	expression.sample.X37A_saliva.q95	expression.sample.X37A_saliva.q99	expression.sample.X36A_saliva.q01	expression.sample.X36A_saliva.q05	expression.sample.X36A_saliva.q50	expression.sample.X36A_saliva.q95	expression.sample.X36A_saliva.q99	expression.sample.X04A_saliva.q01	expression.sample.X04A_saliva.q05	expression.sample.X04A_saliva.q50	expression.sample.X04A_saliva.q95	expression.sample.X04A_saliva.q99	expression.sample.X16A_saliva.q01	expression.sample.X16A_saliva.q05	expression.sample.X16A_saliva.q50	expression.sample.X16A_saliva.q95	expression.sample.X16A_saliva.q99	expression.sample.X14A_saliva.q01	expression.sample.X14A_saliva.q05	expression.sample.X14A_saliva.q50	expression.sample.X14A_saliva.q95	expression.sample.X14A_saliva.q99	expression.sample.X20A_saliva.q01	expression.sample.X20A_saliva.q05	expression.sample.X20A_saliva.q50	expression.sample.X20A_saliva.q95	expression.sample.X20A_saliva.q99	expression.sample.X25A_saliva.q01	expression.sample.X25A_saliva.q05	expression.sample.X25A_saliva.q50	expression.sample.X25A_saliva.q95	expression.sample.X25A_saliva.q99	expression.sample.X40A_saliva.q01	expression.sample.X40A_saliva.q05	expression.sample.X40A_saliva.q50	expression.sample.X40A_saliva.q95	expression.sample.X40A_saliva.q99	expression.sample.X38A_saliva.q01	expression.sample.X38A_saliva.q05	expression.sample.X38A_saliva.q50	expression.sample.X38A_saliva.q95	expression.sample.X38A_saliva.q99	expression.sample.X21A_saliva.q01	expression.sample.X21A_saliva.q05	expression.sample.X21A_saliva.q50	expression.sample.X21A_saliva.q95	expression.sample.X21A_saliva.q99	expression.sample.X26A_saliva.q01	expression.sample.X26A_saliva.q05	expression.sample.X26A_saliva.q50	expression.sample.X26A_saliva.q95	expression.sample.X26A_saliva.q99	expression.sample.X39A_saliva.q01	expression.sample.X39A_saliva.q05	expression.sample.X39A_saliva.q50	expression.sample.X39A_saliva.q95	expression.sample.X39A_saliva.q99	expression.sample.X42A_saliva.q01	expression.sample.X42A_saliva.q05	expression.sample.X42A_saliva.q50	expression.sample.X42A_saliva.q95	expression.sample.X42A_saliva.q99	expression.sample.X19A_saliva.q01	expression.sample.X19A_saliva.q05	expression.sample.X19A_saliva.q50	expression.sample.X19A_saliva.q95	expression.sample.X19A_saliva.q99	expression.sample.X43A_saliva.q01	expression.sample.X43A_saliva.q05	expression.sample.X43A_saliva.q50	expression.sample.X43A_saliva.q95	expression.sample.X43A_saliva.q99	expression.sample.X24A_saliva.q01	expression.sample.X24A_saliva.q05	expression.sample.X24A_saliva.q50	expression.sample.X24A_saliva.q95	expression.sample.X24A_saliva.q99	expression.sample.X44A_saliva.q01	expression.sample.X44A_saliva.q05	expression.sample.X44A_saliva.q50	expression.sample.X44A_saliva.q95	expression.sample.X44A_saliva.q99	expression.sample.X41A_saliva.q01	expression.sample.X41A_saliva.q05	expression.sample.X41A_saliva.q50	expression.sample.X41A_saliva.q95	expression.sample.X41A_saliva.q99	expression.sample.X34A_saliva.q01	expression.sample.X34A_saliva.q05	expression.sample.X34A_saliva.q50	expression.sample.X34A_saliva.q95	expression.sample.X34A_saliva.q99	difference.between.q01	difference.between.q05	difference.between.q50	difference.between.q95	difference.between.q99	difference.within.q01	difference.within.q05	difference.within.q50	difference.within.q95	difference.within.q99	effect.q01	effect.q05	effect.q50	effect.q95	effect.q99	criteria.significance	criteria.significant	criteria.meaning	criteria.meaningful
334	-13.99	-9.294	-2.36	1.114	2.155	-14.061	-9.385	-2.476	0.953	2.009	-13.904	-9.187	-2.237	1.276	2.289	-11.555	-7.767	-0.952	2.17	3.032	-16.28	-10.326	-3.86	-0.692	0.138	-13.264	-9.153	-2.03	0.951	1.891	-15.379	-9.857	-2.593	0.433	1.302	-11.437	-7.612	-0.965	2.201	2.781	-14.401	-9.869	-3.518	-0.533	0.177	-16.583	-9.754	-3.233	-0.231	0.621	-15.086	-10.106	-2.727	0.192	0.995	-13.707	-9.853	-3.09	0.1	0.903	-12.86	-9.043	-2.183	0.963	1.68	-14.128	-9.796	-3.098	-0.101	0.703	-12.326	-8.095	-1.589	1.255	1.982	-15.192	-9.684	-2.154	1.006	1.913	-15.287	-9.801	-2.973	0.392	1.309	-15.521	-9.669	-2.872	0.108	0.967	-12.201	-8.049	-1.372	1.775	2.457	-14.007	-9.512	-2.77	0.168	0.93	-13.069	-8.251	-1.932	1.046	1.794	-15.941	-10.226	-2.416	0.91	1.722	-13.589	-9.432	-2.389	0.794	1.76	-14.702	-9.69	-2.845	0.224	0.917	-15.816	-10.875	-3.387	-0.199	0.441	-16.713	-11.04	-3.953	-0.788	-0.089	-14.303	-9.436	-2.678	0.333	1.032	-12.146	-7.622	-0.914	1.911	2.656	-13.788	-8.111	-1.465	1.544	2.185	-13.753	-9.038	-1.243	1.885	2.729	-13.894	-9.866	-2.412	0.625	1.515	-13.752	-9.041	-2.607	0.347	1.172	-11.14	-7.823	-1.726	1.461	2.121	-11.882	-8.009	-1.294	1.934	2.863	-13.409	-9.106	-2.843	0.187	0.819	-13.959	-9.988	-2.811	-0.036	0.851	-13.429	-7.313	-1.325	1.763	2.665	-11.638	-7.573	-0.813	2.315	2.963	-12.948	-8.908	-2.13	1.106	1.939	-16.757	-9.481	-2.358	0.731	1.367	-12.826	-8.598	-1.419	1.494	2.117	-13.551	-8.069	-1.339	1.739	2.653	-15.423	-10.429	-3.279	-0.089	0.621	-11.984	-7.272	0.28	7.816	12.475	0.489	1.117	4.371	11.56	16.335	-5.983	-2.364	0.057	2.552	6.322	0.47	FALSE	0.057	FALSE
335	-12.562	-7.966	-0.991	2.224	2.897	-12.332	-7.663	-0.58	2.212	2.887	-12.718	-8.238	-1.355	2.235	2.909	-3.049	-1.358	1.5	3.277	3.752	-14.512	-10.652	-3.622	-0.758	-0.022	-1.402	-0.575	1.338	2.642	3.13	-14.645	-9.168	-2.669	0.498	1.297	-12.364	-8.328	-1.071	2.216	2.936	-2.104	-1.29	0.225	1.327	1.775	-3.027	-1.892	0.028	1.348	1.896	-2.529	-1.392	0.445	1.79	2.359	-13.682	-9.414	-2.955	0.161	0.769	-0.663	0.163	1.669	2.8	3.234	-15.783	-11.039	-3.184	-0.081	0.752	-12.775	-8.45	-1.94	1.188	1.857	-3.863	-2.364	0.348	1.983	2.537	-14.776	-9.598	-2.836	0.445	1.264	-13.955	-9.809	-2.97	0.141	0.867	-12.921	-7.585	-1.421	1.899	2.79	-0.018	0.419	1.686	2.596	2.9	-12.016	-8.213	-1.846	1.161	2.02	-3.983	-2.689	0.279	1.906	2.609	-14.3	-9.495	-2.271	0.722	1.509	1.232	1.579	2.421	3.142	3.485	-5.865	-3.556	-0.894	0.894	1.372	0.695	1.052	1.812	2.434	2.734	-12.981	-9.063	-2.544	0.235	1.27	-11.908	-7.692	-1.021	1.865	2.555	-13.03	-8.338	-1.49	1.605	2.419	-13.111	-8.517	-1.453	1.838	2.508	-16.186	-9.935	-2.461	0.624	1.589	-4.512	-3.155	-0.426	1.434	1.818	-13.237	-8.798	-1.516	1.458	2.316	-13.328	-8.212	-1.185	1.849	2.788	-13.998	-9.579	-2.91	0.232	0.943	-14.724	-10.096	-3.102	0.103	0.781	-13.245	-7.68	-1.323	1.723	2.609	-11.553	-7.597	-0.909	2.073	3.075	-11.794	-8.429	-1.768	1.261	2.067	-13.211	-9.884	-2.339	0.494	1.17	-13.001	-8.367	-1.665	1.474	2.351	-13.652	-8.778	-1.248	1.775	2.489	-14.377	-9.622	-3.261	-0.119	0.637	-12.518	-7.983	-0.58	6.994	11.659	0.484	1.11	4.395	11.492	16.036	-6.661	-2.704	-0.115	2.12	5.464	0.44	FALSE	0.115	FALSE
336	-11.857	-7.18	-0.246	2.962	3.641	-11.145	-6.22	0.037	2.789	3.299	-12.472	-7.904	-0.638	3.233	3.8	-14.048	-8.081	-0.998	2.215	3.216	-2.407	-1.545	-0.005	1.161	1.511	-0.625	0.25	1.773	3.014	3.359	1.41	1.886	2.772	3.494	3.732	-11.607	-7.987	-0.901	2.26	3.087	-15.705	-10.83	-3.682	-0.601	0.162	1.196	1.578	2.434	3.086	3.336	-4.855	-3.41	-0.418	1.312	1.857	-5.677	-3.532	-0.606	1.055	1.544	-15.168	-9.496	-2.132	0.858	1.626	-15.157	-10.289	-3.262	-0.162	0.621	-14.444	-8.846	-2.035	1.192	1.934	-0.607	0.166	1.728	2.815	3.206	-4.611	-3.029	-0.315	1.438	1.901	-1.592	-0.671	0.818	1.995	2.293	-4.041	-1.776	1.029	2.803	3.408	-5.048	-3.275	-0.48	1.301	1.806	-0.558	0.236	1.793	3.007	3.388	-13.914	-9.376	-2.24	0.986	1.579	-4.683	-2.866	-0.016	1.681	2.196	-14.316	-9.93	-2.897	0.135	0.781	-2.88	-1.839	0.007	1.399	1.802	-16.845	-10.558	-3.809	-0.791	-0.098	-15.342	-9.37	-2.749	0.47	1.317	-3.81	-1.473	1.306	2.994	3.673	-12.078	-8.485	-1.563	1.497	2.635	-12.164	-8.448	-1.159	1.962	2.693	-14.3	-9.376	-2.488	0.581	1.4	-13.131	-9.101	-2.658	0.446	1.265	-13.642	-8.26	-1.661	1.521	2.348	-13.246	-8.084	-1.148	1.863	2.671	2.65	2.824	3.46	3.99	4.186	-1.762	-0.844	0.776	1.929	2.366	-13.542	-8.192	-1.32	1.624	2.204	-0.631	0.502	2.371	3.64	4.192	-12.368	-8.34	-1.946	1.02	1.932	-13.288	-8.671	-2.441	0.645	1.288	-14.279	-8.524	-1.375	1.621	2.226	-1.069	-0.106	1.941	3.303	3.73	-1.196	-0.398	0.938	1.909	2.39	-12.908	-8.276	-0.658	6.385	11.159	0.482	1.084	4.248	11.454	16.39	-7.02	-2.855	-0.132	2.144	5.57	0.431	FALSE	0.132	FALSE
337	-13.286	-8.581	-1.743	1.439	2.345	-13.714	-8.874	-2.004	1.219	2.15	-12.844	-8.173	-1.501	1.618	2.511	-11.05	-7.667	-1.065	2.083	2.94	-14.647	-10.567	-3.833	-0.778	0.167	-14.027	-9.073	-1.993	1.004	1.736	-15.295	-9.329	-2.496	0.483	1.22	-12.168	-7.649	-0.879	2.205	2.982	-14.948	-10.106	-3.78	-0.565	0.014	-14.073	-9.699	-3.395	-0.362	0.525	-14.394	-9.657	-2.922	0.266	1.149	-15.771	-10.228	-2.907	0.178	0.932	-13.79	-9.008	-2.187	1.063	1.669	-14.608	-9.779	-3.187	-0.198	0.759	-14.511	-9.204	-1.775	1.209	2.171	-13.2	-9.053	-1.976	1.108	1.797	-13.552	-8.863	-2.721	0.279	1.175	-4.876	-3.227	-0.58	1.124	1.736	-11.378	-7.971	-1.132	1.912	2.523	-4.806	-3.085	-0.461	1.242	1.775	-4.055	-2.289	0.368	2.121	2.73	-13.363	-8.998	-2.125	0.89	1.825	-14.648	-9.952	-2.295	0.617	1.349	-13.899	-9.921	-3.003	0.16	0.901	-15.428	-10.789	-3.142	-0.185	0.563	-5.727	-4.113	-1.589	0.224	0.738	-4.554	-3.069	-0.222	1.445	1.995	-11.585	-7.868	-0.906	2.013	2.856	-12.587	-7.894	-1.559	1.695	2.346	-13.467	-8.656	-1.389	1.793	2.649	-4.269	-2.666	-0.016	1.701	2.388	-15.195	-9.362	-2.708	0.398	1.173	-13.724	-8.268	-1.344	1.383	1.997	-13.615	-8.526	-1.354	1.835	2.606	-14.02	-9.542	-2.973	0.028	0.885	-5.004	-3.55	-0.724	1.01	1.724	-3.569	-1.617	0.979	2.731	3.331	-12.057	-7.627	-1.07	2.214	3.045	-12.679	-8.468	-1.82	1.175	1.98	-14.615	-9.424	-2.553	0.658	1.44	-14.595	-8.039	-1.551	1.633	2.288	-12.086	-7.857	-1.312	1.83	2.465	-14.316	-10.245	-3.394	-0.286	0.586	-11.425	-6.711	0.497	7.862	12.596	0.461	1.053	4.194	11.323	16.017	-5.822	-2.208	0.104	2.742	6.836	0.446	FALSE	0.104	FALSE
338	-0.114	1.333	5.099	10.171	10.967	0.049	1.342	5.5	9.85	11.029	-0.322	1.326	4.616	10.171	10.724	4.189	4.509	5.214	5.796	6.082	5.497	5.616	5.857	6.099	6.19	6.935	7.028	7.306	7.581	7.718	2.753	3.024	3.677	4.258	4.454	4.244	4.504	5.223	5.793	5.993	5.522	5.624	5.882	6.141	6.254	3.228	3.422	3.887	4.318	4.497	7.869	7.938	8.151	8.383	8.479	10.658	10.737	10.932	11.131	11.226	-1.814	-0.556	1.119	2.526	2.959	2.2	2.493	3.096	3.676	3.86	3.408	3.693	4.322	4.907	5.121	5.299	5.442	5.813	6.196	6.315	-0.467	0.078	1.506	2.469	2.976	5.52	5.671	5.953	6.268	6.415	5.632	5.798	6.263	6.68	6.825	4.738	4.902	5.254	5.601	5.746	6.194	6.327	6.668	7.006	7.154	4.959	5.116	5.522	5.928	6.039	3.147	3.432	4.021	4.572	4.745	4.877	5.023	5.351	5.682	5.854	10.377	10.45	10.625	10.814	10.886	2.736	2.906	3.373	3.793	3.986	8.569	8.651	8.849	9.058	9.166	0.592	1.379	2.737	3.897	4.244	9.108	9.198	9.427	9.659	9.762	1.944	2.463	3.551	4.494	4.789	-2.353	-1.192	0.771	2.201	2.642	6.625	6.724	6.958	7.198	7.331	4.461	4.696	5.199	5.697	5.832	-1.009	0.127	2.062	3.363	3.853	1.665	2.072	2.823	3.437	3.687	4.486	4.601	4.948	5.307	5.418	3.386	3.714	4.425	5.044	5.283	2.186	2.687	3.845	4.745	5.041	6.465	6.61	6.92	7.222	7.343	6.075	6.226	6.53	6.812	6.954	2.311	2.675	3.661	4.418	4.768	3.858	4.114	4.751	5.355	5.537	2.232	2.506	3.153	3.671	3.872	-8.092	-5.677	-0.571	5.462	7.928	0.408	0.923	3.737	7.722	9.743	-7.93	-2.558	-0.144	2.431	6.128	0.429	FALSE	0.144	FALSE
339	-5.146	-0.905	3.319	6.818	10.045	-3.953	-0.269	3.54	9	10.113	-6.081	-1.575	2.932	5.242	6.017	-13.054	-8.03	-0.992	2.206	2.945	0.261	0.738	1.605	2.322	2.675	4.265	4.558	5.008	5.444	5.638	2.301	2.705	3.381	4.04	4.307	-2.922	-1.299	1.446	3.117	3.74	4.307	4.408	4.756	5.068	5.206	3.036	3.276	3.788	4.231	4.447	-2.794	-1.643	0.4	1.837	2.323	2.921	3.183	3.784	4.262	4.487	0.662	1.209	2.34	3.395	3.69	7.143	7.233	7.451	7.671	7.761	2.626	3.001	3.794	4.503	4.758	2.187	2.599	3.41	4.098	4.384	9.73	9.806	10.005	10.222	10.309	2.124	2.389	3.087	3.7	3.9	1.46	1.99	3.191	4.143	4.524	1.717	2.11	2.88	3.509	3.71	2.218	2.671	3.491	4.199	4.484	3.915	4.173	4.725	5.185	5.331	5.339	5.498	5.835	6.16	6.332	3.462	3.694	4.202	4.631	4.782	0.588	1.004	1.866	2.692	2.928	3.28	3.459	3.862	4.254	4.411	0.725	1.034	2.102	3.006	3.293	-3.23	-1.3	1.283	3.077	3.58	-0.182	0.608	2.246	3.404	3.911	-2.958	-1.358	1.143	2.936	3.456	-1.062	-0.239	1.337	2.58	2.973	1.193	1.746	2.605	3.367	3.664	2.867	3.23	4.038	4.733	4.915	-12.839	-8.162	-1.013	1.826	2.46	2.013	2.319	3.003	3.659	3.924	1.404	1.791	2.625	3.295	3.539	-11.581	-7.691	-1.474	1.662	2.549	1.898	2.394	3.608	4.502	4.9	5.247	5.424	5.802	6.198	6.368	3.751	3.976	4.476	4.944	5.138	3.179	3.433	4.211	4.881	5.121	1.798	2.403	3.489	4.392	4.726	3.511	3.682	4.12	4.543	4.716	-10.857	-7.166	-0.702	3.779	7.204	0.296	0.701	2.735	8.769	13.018	-8.574	-3.678	-0.21	1.476	3.603	0.391	FALSE	0.21	FALSE
340	-8.065	-3.552	1.163	3.592	4.23	-8.097	-3.534	1.248	3.829	4.369	-8.059	-3.584	1.055	3.462	3.855	-2.586	-1.047	1.551	3.287	3.839	0.428	0.738	1.57	2.288	2.573	-12.579	-8.841	-1.978	0.97	1.754	0.079	0.686	1.915	2.873	3.111	-3.163	-1.255	1.443	3.306	3.843	0.251	0.645	1.516	2.333	2.59	2.546	2.879	3.418	3.903	4.104	0.048	0.53	1.708	2.705	3.089	3.484	3.681	4.142	4.615	4.819	-0.569	-0.011	1.618	2.84	3.284	-2.701	-1.72	0.07	1.456	1.946	-3.883	-2.446	0.454	2.278	2.709	-4.003	-2.359	0.277	2.07	2.536	-4.453	-2.923	-0.285	1.47	1.86	-2.658	-1.608	0.295	1.664	2.155	-3.51	-1.933	1.02	2.683	3.434	0.335	0.779	1.893	2.785	3.244	-13.573	-9.597	-1.75	1.081	1.822	-13.899	-8.709	-2.232	1.01	1.67	1.044	1.603	2.624	3.423	3.714	1.969	2.35	3.08	3.684	3.889	2.846	3.035	3.554	4.023	4.152	-2.359	-1.684	-0.052	1.136	1.579	1.819	2.193	2.976	3.67	3.958	-11.783	-7.653	-1.026	2.121	2.93	-0.024	0.764	2.299	3.493	3.863	-13.487	-8.599	-1.094	1.913	2.839	-4.387	-2.662	-0.023	1.66	2.256	0.723	1.189	2.209	3.1	3.502	-3.811	-2.186	0.812	2.604	3.118	-12.569	-8.406	-1.285	1.884	2.564	-4.508	-3.287	-0.575	1.105	1.691	-0.742	-0.075	1.195	2.156	2.552	-3.504	-1.686	0.991	2.857	3.272	-3.356	-1.291	1.404	3.243	3.755	-4.232	-2.222	0.492	2.209	2.816	0.231	0.901	2.069	3.001	3.305	-11.396	-7.785	-1.504	1.551	2.329	-3.59	-1.538	1.021	2.767	3.459	-1.084	-0.43	0.942	1.935	2.25	-9.505	-5.282	-0.117	5.001	9.344	0.338	0.768	2.942	8.8	13.407	-6.895	-2.723	-0.033	2.335	6.038	0.482	FALSE	0.033	FALSE
341	-8.432	-4.048	2.253	6.167	8.033	-7.832	-3.687	2.628	7.159	8.11	-9.014	-4.377	1.773	6.163	6.704	3.793	4.087	4.9	5.616	5.873	4.583	4.712	5.003	5.285	5.4	1.291	1.942	3.013	3.802	4.144	-12.159	-8.39	-2.411	0.527	1.115	2.603	3.111	4.046	4.878	5.152	-3.382	-2.398	-0.4	1.008	1.55	-5.231	-3.544	-0.805	0.91	1.411	3.61	3.823	4.31	4.778	4.953	7.682	7.771	8.004	8.221	8.312	-1.727	-0.896	1.108	2.517	2.983	1.063	1.505	2.33	3.037	3.266	-0.774	0.411	1.999	3.162	3.449	1.051	1.605	2.684	3.601	3.934	-4.591	-3.081	-0.248	1.4	1.819	-14.765	-9.658	-2.802	0.23	0.978	-12.727	-7.882	-1.408	1.709	2.491	3.1	3.347	3.874	4.331	4.515	1.636	1.96	3	3.839	4.125	4.612	4.809	5.256	5.667	5.835	1.248	1.637	2.589	3.361	3.766	2.254	2.619	3.265	3.837	4.089	3.736	3.887	4.307	4.707	4.872	-1.685	-0.953	0.417	1.413	1.775	0.519	1.069	2.126	2.998	3.282	-2.85	-1.52	1.302	3.201	3.661	6.008	6.153	6.515	6.885	7.053	-13.162	-7.48	-1.222	1.846	2.416	-15.517	-9.23	-2.461	0.777	1.537	-5.351	-3.193	-0.36	1.362	1.937	-13.712	-9.198	-1.618	1.589	2.404	-2.933	-1.593	1.182	2.979	3.546	-14.116	-9.416	-2.95	0.12	0.729	-2.594	-1.794	0.202	1.566	2.034	1.471	2.016	3.132	4.054	4.434	-2.666	-1.391	1.494	3.23	3.718	5.2	5.385	5.798	6.181	6.373	-1.093	-0.288	1.289	2.485	2.937	1.729	2.18	3.217	4.09	4.417	0.098	0.929	2.526	3.649	4.012	2.929	3.119	3.623	4.103	4.276	-12.478	-7.935	-0.73	6.675	10.72	0.524	1.178	4.546	11.082	15.736	-5.997	-2.705	-0.144	1.907	4.441	0.43	FALSE	0.144	FALSE
342	-5.286	-0.874	2.888	5.263	6.504	-1.001	0.228	2.835	5.859	6.607	-7.131	-2.497	2.967	5.196	5.752	0.863	1.451	2.952	4.1	4.379	3.123	3.293	3.718	4.116	4.261	1.62	2.021	2.947	3.793	4.098	2.02	2.389	3.171	3.813	4.09	-2.898	-1.423	1.327	3.134	3.805	2.672	2.839	3.346	3.831	3.992	-0.956	-0.36	1.015	1.998	2.458	2.267	2.565	3.245	3.874	4.123	6.065	6.187	6.456	6.741	6.863	0.456	1.076	2.387	3.296	3.675	2.705	2.911	3.462	3.97	4.169	1.929	2.328	3.357	4.104	4.441	1.066	1.715	2.683	3.542	3.872	-1.284	-0.489	1.137	2.197	2.661	4.3	4.476	4.883	5.234	5.397	-2.64	-1.433	1.082	2.778	3.402	1.464	1.785	2.583	3.3	3.579	-1.83	-0.715	1.241	2.65	3.037	0.523	1.149	2.32	3.247	3.578	0.954	1.391	2.412	3.231	3.592	5.111	5.259	5.591	5.907	6.051	2.719	2.933	3.485	3.983	4.194	4.163	4.298	4.626	4.928	5.027	3.548	3.79	4.27	4.73	4.903	-0.704	0.357	2.273	3.58	3.987	2.084	2.642	3.637	4.398	4.669	-13.227	-7.86	-1.141	1.925	2.821	-0.967	-0.239	1.285	2.47	2.924	3.82	3.98	4.45	4.849	5.005	1.087	1.732	2.88	3.86	4.158	-13.378	-7.582	-1.072	1.7	2.564	-0.267	0.348	1.547	2.526	2.819	3.498	3.719	4.168	4.607	4.8	-13.084	-8.035	-1.21	1.756	2.525	-2.872	-1.696	1.459	3.338	3.859	0.805	1.404	2.61	3.588	3.885	4.009	4.211	4.673	5.124	5.285	-0.072	0.622	2.218	3.402	3.82	1.431	1.986	3.228	4.125	4.435	1.818	2.128	2.787	3.38	3.605	-10.292	-5.679	0.146	3.565	5.045	0.275	0.634	2.625	7.858	12.376	-8.015	-2.917	0.048	2.139	5.146	0.477	FALSE	0.048	FALSE
343	-5.477	-1.205	2.595	5.152	5.694	-3.972	-0.179	2.983	5.324	5.777	-6.395	-1.989	2.072	5.017	5.519	1.094	1.974	3.319	4.398	4.788	2.39	2.667	3.158	3.625	3.821	0.772	1.283	2.501	3.439	3.774	4.29	4.457	4.893	5.299	5.453	1.302	1.893	3.261	4.315	4.627	4.179	4.32	4.651	4.971	5.105	5.244	5.34	5.638	5.918	6.028	4.016	4.219	4.641	5.023	5.174	3.338	3.568	4.054	4.533	4.677	-1.968	-0.977	1.046	2.501	2.985	-1.803	-0.82	0.692	1.904	2.299	2.759	3.137	3.902	4.618	4.837	1.077	1.52	2.684	3.609	3.94	-0.082	0.667	1.842	2.779	3.106	1.025	1.369	2.207	3.001	3.238	-12.026	-7.827	-1.327	1.663	2.718	2.149	2.455	3.18	3.76	3.984	0.307	0.871	2.239	3.189	3.479	-0.6	0.203	1.582	2.76	3.213	1.921	2.247	3.086	3.867	4.075	4.847	5.001	5.341	5.668	5.76	3.875	4.072	4.478	4.846	5.026	-0.339	0.202	1.192	1.996	2.281	3.792	3.992	4.468	4.924	5.058	-3.056	-1.482	1.456	3.132	3.727	3.036	3.466	4.206	4.895	5.134	-3.403	-1.572	1.151	2.822	3.359	-0.997	-0.192	1.365	2.507	2.872	3.344	3.586	4.092	4.569	4.748	-3.466	-1.847	0.794	2.517	3.125	-0.725	0.134	2.053	3.458	3.925	1.36	1.73	2.555	3.247	3.565	0.801	1.218	2.15	2.927	3.241	0.114	0.725	2.404	3.549	3.984	-13.027	-8.388	-0.964	2.14	3.029	-12.739	-8.356	-1.965	1.133	2.054	3.504	3.735	4.278	4.764	4.947	-1.47	-0.35	1.635	2.985	3.483	-3.452	-1.658	1.172	2.915	3.39	-1.18	-0.432	0.986	1.981	2.365	-9.636	-5.496	-0.726	3.615	6.843	0.313	0.725	2.765	7.692	12.495	-8.044	-3.257	-0.23	1.839	4.295	0.387	FALSE	0.23	FALSE
